,SOURCE,kcat
1.11.1.6,BRENDA and SABIO-RK,2830000.0
2.5.1.17,BRENDA and SABIO-RK,999.0
1.14.12.17,BRENDA and SABIO-RK,670.0
2.7.1.12,BRENDA,9.5
5.3.1.16,BRENDA and SABIO-RK,32.0
1.3.3.3,BRENDA,16.0
4.1.1.23,BRENDA and SABIO-RK,999.0
2.7.2.15,BRENDA,120.0
5.4.4.2,BRENDA and SABIO-RK,50.4
3.6.1.11,BRENDA and SABIO-RK,1550.0
2.4.2.18,BRENDA and SABIO-RK,4.4
2.6.1.19,BRENDA and SABIO-RK,47.4
4.4.1.1,BRENDA and SABIO-RK,89.0
3.5.4.16,BRENDA and SABIO-RK,43.21666666666667
2.2.1.1,BRENDA and SABIO-RK,410000.0
4.3.1.7,BRENDA,770.0
6.3.4.21,BRENDA,999.0
3.1.3.91,BRENDA and SABIO-RK,12.0
2.7.1.45,BRENDA,26.3
3.2.1.74,BRENDA and SABIO-RK,4945.0
1.20.4.1,BRENDA and SABIO-RK,0.3
2.7.1.145,BRENDA and SABIO-RK,999.0
2.3.1.41,BRENDA and SABIO-RK,551.0
4.2.1.8,BRENDA,5.88
4.2.1.47,BRENDA,8.82
4.2.1.130,BRENDA,2.61
1.5.1.12,BRENDA,25.0
2.7.6.3,BRENDA,999.0
