,kcat,MW,kcat_MW
RMNtex_num1,1684509.733,117.9999,14275.51830976128
RMNtex_num2,1684509.733,116.766,14426.371829128342
RMNtex_num3,1684509.733,121.1044,13909.566729202243
RMNtex_num4,1684509.733,41.2198,40866.51883318211
MALTTRtexi,30256880.93,149.7367,202067.23488630375
MALTTTRtexi,30256880.93,149.7367,202067.23488630375
MALTPTtexi,30256880.93,149.7367,202067.23488630375
MALTtexi,30256880.93,149.7367,202067.23488630375
PHEtex_num1,1684509.733,41.2198,40866.51883318211
PHEtex_num2,1684509.733,116.766,14426.371829128342
PHEtex_num3,1684509.733,117.9999,14275.51830976128
PHEtex_num4,1684509.733,121.1044,13909.566729202243
PItex_num1,1684509.733,41.2198,40866.51883318211
PItex_num2,1684509.733,116.766,14426.371829128342
PItex_num3,1684509.733,117.9999,14275.51830976128
PItex_num4,1684509.733,121.1044,13909.566729202243
ACGAMK,37204.74,33.0427,1125.959440360503
METS_num1,525691.975,135.997,3865.4674367816933
METS_num2,525691.975,84.6735,6208.459258209475
TRSARr_num1,874800.0,123.2023,7100.5167923001445
TRSARr_num2,874800.0,30.4274,28750.40259765869
PNTOtex_num1,1684509.733,41.2198,40866.51883318211
PNTOtex_num2,1684509.733,116.766,14426.371829128342
PNTOtex_num3,1684509.733,117.9999,14275.51830976128
PNTOtex_num4,1684509.733,121.1044,13909.566729202243
PPPNtex_num1,1684509.733,41.2198,40866.51883318211
PPPNtex_num2,1684509.733,116.766,14426.371829128342
PPPNtex_num3,1684509.733,117.9999,14275.51830976128
PPPNtex_num4,1684509.733,121.1044,13909.566729202243
PPTtex_num1,1684509.733,41.2198,40866.51883318211
PPTtex_num2,1684509.733,116.766,14426.371829128342
PPTtex_num3,1684509.733,117.9999,14275.51830976128
PPTtex_num4,1684509.733,121.1044,13909.566729202243
PTRCtex_num1,1684509.733,41.2198,40866.51883318211
PTRCtex_num2,1684509.733,116.766,14426.371829128342
PTRCtex_num3,1684509.733,117.9999,14275.51830976128
PTRCtex_num4,1684509.733,121.1044,13909.566729202243
PYRtex_num1,1684509.733,41.2198,40866.51883318211
PYRtex_num2,1684509.733,116.766,14426.371829128342
PYRtex_num3,1684509.733,117.9999,14275.51830976128
PYRtex_num4,1684509.733,121.1044,13909.566729202243
DSERtex_num1,1684509.733,41.2198,40866.51883318211
DSERtex_num2,1684509.733,116.766,14426.371829128342
DSERtex_num3,1684509.733,117.9999,14275.51830976128
DSERtex_num4,1684509.733,121.1044,13909.566729202243
SERtex_num1,1684509.733,41.2198,40866.51883318211
SERtex_num2,1684509.733,116.766,14426.371829128342
SERtex_num3,1684509.733,117.9999,14275.51830976128
SERtex_num4,1684509.733,121.1044,13909.566729202243
SO4tex_num1,1684509.733,41.2198,40866.51883318211
SO4tex_num2,1684509.733,116.766,14426.371829128342
SO4tex_num3,1684509.733,117.9999,14275.51830976128
SO4tex_num4,1684509.733,121.1044,13909.566729202243
SPMDtex_num1,1684509.733,117.9999,14275.51830976128
SPMDtex_num2,1684509.733,121.1044,13909.566729202243
SPMDtex_num3,1684509.733,116.766,14426.371829128342
SPMDtex_num4,1684509.733,41.2198,40866.51883318211
SUCCtex_num1,1684509.733,41.2198,40866.51883318211
SUCCtex_num2,1684509.733,116.766,14426.371829128342
SUCCtex_num3,1684509.733,117.9999,14275.51830976128
SUCCtex_num4,1684509.733,121.1044,13909.566729202243
SUCRtex_num1,1684509.733,41.2198,40866.51883318211
SUCRtex_num2,1684509.733,116.766,14426.371829128342
SUCRtex_num3,1684509.733,117.9999,14275.51830976128
SUCRtex_num4,1684509.733,121.1044,13909.566729202243
TARTRtex_num1,1684509.733,41.2198,40866.51883318211
TARTRtex_num2,1684509.733,116.766,14426.371829128342
TARTRtex_num3,1684509.733,117.9999,14275.51830976128
TARTRtex_num4,1684509.733,121.1044,13909.566729202243
TAURtex_num1,1684509.733,41.2198,40866.51883318211
TAURtex_num2,1684509.733,116.766,14426.371829128342
TAURtex_num3,1684509.733,117.9999,14275.51830976128
TAURtex_num4,1684509.733,121.1044,13909.566729202243
THRtex_num1,1684509.733,41.2198,40866.51883318211
THRtex_num2,1684509.733,116.766,14426.371829128342
THRtex_num3,1684509.733,117.9999,14275.51830976128
THRtex_num4,1684509.733,121.1044,13909.566729202243
THMDtex_num1,1684509.733,41.2198,40866.51883318211
THMDtex_num2,1684509.733,116.766,14426.371829128342
THMDtex_num3,1684509.733,117.9999,14275.51830976128
THMDtex_num4,1684509.733,121.1044,13909.566729202243
CBIuabcpp,3042.0,153.4278,19.826915330859208
