GO,ec,kcat
GO:0070204,2.2.1.9,0.316666667
GO:0004042,2.3.1.1,3.333333333333333
GO:0103045,2.3.1.1,3.333333333333333
GO:0004742,2.3.1.12,2.4
GO:0030523,2.3.1.12,2.4
GO:0008780,2.3.1.129,10.5
GO:0004366,2.3.1.15,0.0918
GO:0102420,2.3.1.15,0.0918
GO:0019134,2.3.1.157,1500.0
GO:0003988,2.3.1.16,999.0
GO:0033812,2.3.1.174,7.83333333
GO:0033817,2.3.1.179,0.047
GO:0033818,2.3.1.180,47.1
GO:0103118,2.3.1.191,999.0
GO:0009001,2.3.1.30,3300.0
GO:0016412,2.3.1.30,3300.0
GO:0003870,2.3.1.37,0.6579999999999999
GO:0004313,2.3.1.38,40.0666667
GO:0016418,2.3.1.38,40.0666667
GO:0004314,2.3.1.39,1580.0
GO:0016419,2.3.1.39,1580.0
GO:0004343,2.3.1.4,38.0
GO:0004315,2.3.1.41,551.0
GO:0008899,2.3.1.46,36.72
GO:0008710,2.3.1.47,7000.0
GO:0008861,2.3.1.54,12.8
GO:0004145,2.3.1.57,9.0
GO:0008959,2.3.1.8,5252.0
GO:0004312,2.3.1.85,73.0
GO:0003985,2.3.1.9,5000000.0
GO:0004108,2.3.3.1,167.0
GO:0003852,2.3.3.13,450.0
GO:0050440,2.3.3.5,29.9
GO:0004474,2.3.3.9,999.0
GO:0004645,2.4.1.1,312.0
GO:0102250,2.4.1.1,312.0
GO:0102499,2.4.1.1,312.0
GO:0003825,2.4.1.15,999.0
GO:0003844,2.4.1.18,1000.0
GO:0102752,2.4.1.18,1000.0
GO:0009011,2.4.1.21,412.0
GO:0033201,2.4.1.21,412.0
GO:0050511,2.4.1.227,14.0
GO:0051991,2.4.1.227,14.0
GO:0004134,2.4.1.25,999.0
GO:0102500,2.4.1.25,999.0
GO:0004731,2.4.2.1,28000.0
GO:0004588,2.4.2.10,3534.0
GO:0003879,2.4.2.17,2.7
GO:0004048,2.4.2.18,4.4
GO:0004514,2.4.2.19,999.0
GO:0016154,2.4.2.2,679.0
GO:0008939,2.4.2.21,149.0
GO:0000310,2.4.2.22,150.0
GO:0004850,2.4.2.3,150.0
GO:0009032,2.4.2.4,1770.0
GO:0003999,2.4.2.7,17.9
GO:0004422,2.4.2.8,90.0
GO:0052657,2.4.2.8,90.0
GO:0004845,2.4.2.9,6.1
GO:0004161,2.5.1.1,1.4
GO:0004337,2.5.1.10,43.5
GO:0004156,2.5.1.15,999.0
GO:0004766,2.5.1.16,999.0
GO:0008817,2.5.1.17,999.0
GO:0003866,2.5.1.19,100.0
GO:0004789,2.5.1.3,999.0
GO:0008834,2.5.1.31,11.2
GO:0004124,2.5.1.47,14000.0
GO:0003962,2.5.1.48,166.0
GO:0102028,2.5.1.48,166.0
GO:0003849,2.5.1.54,122.0
GO:0008676,2.5.1.55,100.0
GO:0004478,2.5.1.6,7.5
GO:0004418,2.5.1.61,0.25
GO:0033847,2.5.1.65,14000.0
GO:0008760,2.5.1.7,8.9
GO:0000906,2.5.1.78,0.076
GO:0004746,2.5.1.9,2.0
GO:0004069,2.6.1.1,670.0
GO:0003992,2.6.1.11,1.55
GO:0004360,2.6.1.16,35.5
GO:0009016,2.6.1.17,24.0
GO:0034386,2.6.1.19,47.4
GO:0004021,2.6.1.2,500.0
GO:0004084,2.6.1.42,1236.0
GO:0052654,2.6.1.42,1236.0
GO:0052655,2.6.1.42,1236.0
GO:0052656,2.6.1.42,1236.0
GO:0004838,2.6.1.5,576.0
GO:0004648,2.6.1.52,2.49
GO:0008793,2.6.1.57,1200.0
GO:0080130,2.6.1.57,1200.0
GO:0019180,2.6.1.59,0.38
GO:0004015,2.6.1.62,999.0
GO:0043825,2.6.1.81,4.7
GO:0046820,2.6.1.85,2.2
GO:0004400,2.6.1.9,3100.0
GO:0004396,2.7.1.1,1899.46667
GO:0004143,2.7.1.107,999.0
GO:0003872,2.7.1.11,999.0
GO:0046316,2.7.1.12,9.5
GO:0047324,2.7.1.121,4.833333333333333
GO:0009029,2.7.1.130,2.4
GO:0019136,2.7.1.145,999.0
GO:0004747,2.7.1.15,47.81
GO:0043752,2.7.1.156,0.251
GO:0008741,2.7.1.16,109.0
GO:0004856,2.7.1.17,6600.0
GO:0004340,2.7.1.2,1492.0
GO:0004001,2.7.1.20,999.0
GO:0004797,2.7.1.21,999.0
GO:0003951,2.7.1.23,999.0
GO:0004140,2.7.1.24,14.2
GO:0004020,2.7.1.25,272.0
GO:0008531,2.7.1.26,6.8
GO:0004370,2.7.1.30,4900.0
GO:0008887,2.7.1.31,350.0
GO:0004594,2.7.1.33,329.0
GO:0008478,2.7.1.35,131.0
GO:0004413,2.7.1.39,40.8
GO:0008865,2.7.1.4,8897.0
GO:0004743,2.7.1.40,95000.0
GO:0008673,2.7.1.45,26.3
GO:0004849,2.7.1.48,3.2
GO:0008902,2.7.1.49,0.43
GO:0008787,2.7.1.55,47.0
GO:0045127,2.7.1.59,65.0
GO:0004335,2.7.1.6,146.0
GO:0009384,2.7.1.60,83.0
GO:0004765,2.7.1.71,60.0
GO:0004137,2.7.1.74,78300.0
GO:0008776,2.7.2.1,3600.0
GO:0008980,2.7.2.15,120.0
GO:0008804,2.7.2.2,730.0
GO:0004618,2.7.2.3,2633.0
GO:0004072,2.7.2.4,469.3
GO:0003991,2.7.2.8,187.5
GO:0004127,2.7.4.14,410.0
GO:0009030,2.7.4.16,0.063
GO:0009041,2.7.4.22,545.2
GO:0033862,2.7.4.22,545.2
GO:0004017,2.7.4.3,1100.0
GO:0050145,2.7.4.4,500.0
GO:0004550,2.7.4.6,2085.0
GO:0008972,2.7.4.7,0.0867
GO:0004385,2.7.4.8,1500.0
GO:0004798,2.7.4.9,38.1
GO:0004749,2.7.6.1,311.0
GO:0003848,2.7.6.3,999.0
GO:0008728,2.7.6.5,127.0
GO:0000309,2.7.7.1,53.9
GO:0008108,2.7.7.12,999.0
GO:0004515,2.7.7.18,53.9
GO:0003919,2.7.7.2,0.33
GO:0003977,2.7.7.23,350.0
GO:0008879,2.7.7.24,41.0
GO:0008878,2.7.7.27,999.0
GO:0004595,2.7.7.3,26.5
GO:0008690,2.7.7.38,21.9
GO:0004781,2.7.7.4,260.0
GO:0004605,2.7.7.41,8.92
GO:0008668,2.7.7.58,5.83
GO:0050518,2.7.7.60,999.0
GO:0008820,2.7.7.62,4.7
GO:0051748,2.7.7.64,999.0
GO:0061598,2.7.7.75,0.0012
GO:0003983,2.7.7.9,999.0
GO:0008963,2.7.8.13,999.0
GO:0051992,2.7.8.13,999.0
GO:0051073,2.7.8.26,0.67
