,kcat,MW,kcat_MW
FALDH2,29317.27206000001,78.718,372.4341581340989
NTPP1,29218.073669999998,14.9271,1957.3844665072247
PERD_reverse,29134.958939999997,82.7353,352.14665251712387
CTECOAI6_reverse,29128.12964,159.1878,182.97966075289688
BWCOGDS2,29065.07453,21.6429,1342.9380780764136
HYD3pp,29005.97007,181.7482,159.5942632169122
PMANM,28985.11675,50.4626,574.3880963327297
HACD6_reverse,28885.7992,77.0722,374.7888239858211
CDPPH,28855.36431,35.353,816.2069501881027
PRPPS,28800.0,34.2183,841.6549039549013
UAAGDS,28800.0,53.3436,539.8960700065237
HSST,28800.0,71.4546,403.0531274403608
MTHFD_reverse,28796.287310000003,62.0875,463.8016881014698
NTD2pp,28742.741639999997,60.824,472.5559259502828
PFK_2,28729.97065,139.3682,206.1443761919864
TAGURr,28666.34973,54.8083,523.0293537657618
DHNAOT4,28638.76395,33.594,852.4963966779782
LPLIPAL2ATG161,28569.380760000004,38.9783,732.9560488784787
ACCOAC,28564.88644,252.4556,113.14815928028533
GPDDA5pp,28550.56261,81.6867,349.51298816086336
HACD5_reverse,28543.868110000003,77.0722,370.3523204216307
AHGDx_reverse,28540.16407,176.7031,161.51478989332952
CYTBD2pp,28476.710769999998,100.3437,283.7917155735736
PSD161,28440.0,35.9344,791.4421835344406
2DDARAA,28422.219910000003,32.722,868.5966600452298
ALLULPE,28397.97262,26.1092,1087.6615376955247
INOSTO_reverse,28380.97591,61.164,464.0143860767772
ATHRDHr_reverse,28339.932010000004,108.9957,260.00963349930316
FACOAE181,28297.738269999998,127.8653,221.308973349298
NTPTP1,28199.90188,356.2976,79.1470441563457
RHMND,28119.95353000001,353.80800000000005,79.47800369126759
SGSAD,28118.214060000002,53.0263,530.2692071670097
O16GLCT1,28037.51536,43.1882,649.1938853668363
ALPATG160pp,27918.59867,82.0363,340.32006160687405
UMPK_reverse,27813.81124,24.7463,1123.9583792324506
GK1_reverse,27785.557419999997,47.1854,588.8592111119118
RNDR2b,27735.009710000002,242.982,114.14429756113623
NADPHQR2,27721.051180000002,43.7818,633.1638073354682
4PCP,27706.1783,33.5675,825.3870052878527
PYK2,27680.85888,205.4286,134.74686036900414
CYSDDS,27651.34377,70.3066,393.29655779116035
PPDOy,27609.905660000004,37.978,726.997357944073
ADK4_reverse,27584.11545,23.586,1169.5122297125415
SERD_D,27507.133319999997,47.9006,574.2544627833472
DAAD,27473.023760000004,95.2146,288.53793178777215
BMOGDS1,27337.89485,21.6429,1263.1345545190338
GALS3,27314.257639999996,101.3141,269.59976587661544
CLPNS120pp,27301.68336000001,47.6335,573.1613960762909
MLTP2,27243.36347,181.0448,150.47857475055898
CBLAT_reverse,27183.75746,21.9989,1235.6871234470814
2HESR,27159.73869,49.032,553.9186386441507
LPLIPAL2ATE160,27150.846639999996,38.9783,696.5631297414203
AGPR,27140.71295,35.9521,754.9131469371747
TDPADGAT,27137.47252,24.2204,1120.438659972585
ACACCT,27123.738889999997,57.562,471.20911174038423
GALKr_reverse,27093.8564,41.4421,653.7761455138615
METNA_reverse,27085.975430000002,38.496,703.6049311616791
NTP1,27027.32662,39.1933,689.590481536385
SDPTA_reverse,27000.0,44.7291,603.6338759331172
GLCP,26911.79951,181.0448,148.64718296244908
TDSK,26884.71438,35.5893,755.415655267173
GNK,26754.97352,21.004,1273.8037288135592
PPM2_reverse,26740.7499,44.37,602.6763556457066
FRULYSK,26674.19432,28.3318,941.4931038620912
ACACT7r_reverse,26653.29045,46.5305,572.8133256681101
TMDS,26640.0,60.9594,437.0121753166862
MDDCP3pp,26609.07923000001,41.849,635.8354854357333
FRULYSE_reverse,26511.74296,249.3506,106.32315687229143
MDDCP2pp,26499.7787,41.849,633.2237018805706
RBK_L1,26478.88451,122.1788,216.72241428136468
PSD141,26441.03704,35.9344,735.8140678569839
TRE6PS,26430.17295,53.6112,492.99722725848335
MLTGY3pp,26411.449959999998,22.2266,1188.2811568121076
AMALT3,26398.095119999998,78.5035,336.26647372410144
TMAOR1pp,26365.14013,129.2504,203.9849790019992
G2PPpp,26350.74038000001,98.8772,266.49966200499205
MDDEP4pp,26327.99993,21.04,1251.3307951520915
LYSAM,26321.80499,38.75,679.2723868387097
DHNCOAS,26258.64932,189.7985,138.350141439474
OP4ENH,26173.1843,144.4494,181.1927519255878
3PEPTabcpp,26082.635140000002,200.7513,129.92511201670922
FEOXAMR1,26079.923469999998,30.1128,866.0743428043887
GLTPD_reverse,26014.787080000002,74.7803,347.88289268697775
HEPK2,26010.86203,27.461,947.1928199992717
2AGPGAT140,26004.844269999998,80.7,322.24094510532836
2AGPGAT181,25994.16807,80.7,322.1086501858736
CLPNS140pp_reverse,25952.24174,47.6335,544.8317201129457
AMANAPEr,25940.03066,24.0737,1077.5257089687086
LADGMDH,25938.68088,53.11600000000001,488.34025303110167
RMPA,25917.542,120.582,214.93707186810641
OXDHCOAT,25910.35692,70.6812,366.5806030457887
GTHOr,25901.616140000002,97.545,265.53504679891336
4HTHRK,25833.20273,67.2473,384.15226678245824
DDPGALA,25821.72449,21.3906,1207.1528844445693
BWCOGDS1,25790.66276,21.6429,1191.645424596519
DHPTDNRN,25764.69374,47.8104,538.8930805849774
NDPK4_reverse,25751.50973,23.586,1091.8133524124482
CYTK2,25750.10172,24.7463,1040.5637093222017
NTPP10,25719.40426,42.0777,611.2359815294087
LIPATPT,25688.03264,37.9259,677.3216361378372
APG3PAT141,25623.64564,22.1934,1154.5615200915586
LYSAM_reverse,25606.02051,38.75,660.8005292903225
DDGALK,25598.32552,31.3736,815.9192926536963
SUCBZS,25537.98661,35.4766,719.8544000834352
PAPSR2,25460.24801,65.0891,391.1599332299878
AMMQLT8,25407.58414,28.0732,905.0476661014777
LPLIPAL2A161,25406.02561,38.9783,651.7992218747355
ECOAH7_reverse,25171.19057,77.0722,326.592345489035
CXSAMS,25116.46412,55.554,452.10901321236986
S2FE2SS2,25109.73651,277.201,90.58313826429196
PEAMNOpp,25099.97591,168.7573,148.73416385543027
NTD4,25068.67115,26.9004,931.9070032415874
NTP3,24885.86102,31.565,788.4004758434975
DC6PDA,24868.36004,27.774,895.3827334917547
XYLK,24801.49779,105.2365,235.67391342357448
GLCRAL,24765.1176,164.305,150.72650010650923
ICHORS_copy2,24753.81242,97.5291,253.80950321493785
GLUCYS,24739.04104,58.2693,424.56389625411657
MICITDr,24735.85224,186.9962,132.27997274810932
MLTP1,24684.35694,181.0448,136.34391564960717
TDPGDH,24678.10401,39.7538,620.7734609018509
FCLPA,24648.803369999998,23.2225,1061.4190276671332
NDPK2,24602.14215,23.586,1043.0824281353346
QMO2,24600.84318,23.0648,1066.5968566820436
ECOAH8_reverse,24530.3731,77.0722,318.277836885414
M1PD_reverse,24491.614559999998,41.139,595.3381112812657
DHORTS_reverse,24480.0,77.6548,315.24129867052653
CTECOAI6,24446.506719999998,159.1878,153.5702278692211
SOTA,24429.86623,87.3307,279.73972761010737
AGM4PApp,24410.50695,31.072,785.611063014933
GMPS,24356.93407,117.3584,207.5431675108045
DASYN140,24327.98376,31.4538,773.4513400606603
FACOAL60t2pp,24310.91002,60.7731,400.0274795921222
