,kcat
b0002,5.14762899504232
b0003,34.9822142347035
b0004,2.28471090237455
b0008,3.76842899783435
b0023,7.00645934369887
b0026,4.34354888240465
b0031,9.81366639417624
b0032,9.19027706001008
b0033,10.0188441216258
b0071,1.59880705251726
b0072,3.13432106769907
b0073,3.29501888767125
b0074,4.1574862007949
b0077,33.833966322388
b0078,25.1621932869258
b0114,47.9485731748784
b0115,75.5026838894124
b0116,30.0149699257733
b0118,34.723028581576
b0166,1.67725357987332
b0169,6.78773569441586
b0171,5.38256548553681
b0180,11.9398946569781
b0185,3.75033941976365
b0194,1.71981042758696
b0242,15.7306573349395
b0243,11.9031156256156
b0386,8.43450495277958
b0388,39.4407203452688
b0431,810.094741014671
b0432,818.669759314814
b0474,0.83556034259182
b0523,2.33150490394718
b0526,2.16533257492954
b0642,6.00242242958163
b0680,2.9795557351229
b0720,34.6898727200493
b0722,1360.78698213705
b0723,117.976038814366
b0724,126.398586109455
b0726,66.0431010375185
b0727,34.4046270549798
b0728,24.0117257552582
b0729,25.2329854038436
b0733,1920.85596469105
b0734,4140.35466906268
b0754,2.93207958069392
b0755,82.8734710573104
b0767,88.3949876504401
b0893,2.91338056981185
b0907,4.72156044587648
b0908,15.0858394771992
b0911,8.68501958482334
b0928,5.50676521320971
b0929,467.91937022135
b0930,1.82609749057258
b0945,44.407050177526
b0954,11.4344405066373
b1062,15.6069537002403
b1089,16.7232852579082
b1091,4.35963626957169
b1092,2.00462703294898
b1093,12.7678639510541
b1098,9.78959395596118
b1101,229.952856752472
b1109,3234.95423978961
b1131,3.27132269340597
b1136,11.7053637753035
b1260,0.450369508942994
b1261,0.656654041883285
b1262,1.80792662553347
b1263,4.3373354687528
b1264,11.549983214544
b1276,202.130270978952
b1281,13.9862880692036
b1288,5.77775438355921
b1380,2.44361279267909
b1612,114.130733980461
b1637,3.60958937632915
b1676,6.75233988274417
b1693,53.9715120514205
b1713,3.36988490162117
b1716,12.8011935044709
b1719,8.54131342170914
b1723,322.010252598513
b1761,1.93340592007774
b1779,29.2027061320499
b1817,66.4141801261211
b1818,649.565945799903
b1819,427.744474798304
b1849,12.8024576657565
b1852,112.469651045089
b1854,19.6299828563698
b1866,3.25497837655867
b1876,12.4320933899355
b2019,1.09203564866207
b2020,2.78377457973439
b2021,1.87091401572251
b2022,1.73579475142467
b2023,3.45328484579997
b2026,6.13581666428449
b2029,11.7141160861108
b2097,36.0664287559597
b2114,2.33777887304572
b2149,3084.07360820962
b2185,8.31240855415378
b2215,834.101725856693
b2234,2.55087446644525
b2235,3.63289124503109
b2281,1618.27030422011
b2283,992.141833689562
b2284,2668.95450441657
b2286,863.264349339328
b2287,2214.00223742274
b2288,4551.84706575154
b2290,130.932158704111
b2297,125.368258383897
b2312,23.2331934955127
b2316,7.70163473609869
b2323,21.5147234296153
b2329,28.9995961879994
b2379,382.405034945338
b2400,2.0420303633571
b2414,0.0463067891087076
b2421,1.17436363350225
b2464,24.1419375737907
b2465,20.764648338869
b2472,103.881512043767
b2476,2.09375798281537
b2478,8.00578464476512
b2499,4.574400826817
b2507,1.32914946864359
b2508,0.713519623381926
b2514,2.15497998698903
b2518,0.761628205529474
b2530,3.52885853252618
b2551,1.30037482842091
b2557,2.10022299343508
b2599,17.5358206310835
b2600,51.230493496039
b2606,8.88589888904098
b2609,4.6204884597201
b2697,8.96595355472881
b2751,0.5784459490567
b2752,0.423258873062841
b2762,1.42289942963782
b2763,0.616831393304917
b2764,0.478865102966491
b2779,26.8518698210433
b2780,6.62673316206155
b2818,20.5311421818298
b2827,2.74055927703893
b2838,33.1139010113807
b2890,2.41652893601484
b2913,3.89119131248256
b2914,10.3051731405746
b2925,10.9349295822922
b2926,48.4501728409079
b2935,10.3051731405746
b3008,2.5213387162812
b3065,5.35745413135751
b3165,7.85402150394904
b3172,1.37740338247482
b3176,1.36957634881808
b3185,16.5177028234003
b3186,11.3061138946048
b3189,1.33093344658765
b3230,9.34527048977099
b3231,6.7838582916334
b3236,7.55712369653839
b3255,2.83564504586815
b3256,4.65245424276567
b3281,69.4087785988792
b3294,9.32484805242421
b3296,7.41854571838762
b3297,13.0409936540928
b3298,5.83692675954119
b3301,10.0802687616842
b3302,6.3224233608609
b3303,6.59106520491047
b3304,11.8152761022421
b3305,6.86505790121773
b3306,12.3027192418654
b3307,12.8423156234859
b3308,6.62056872693023
b3309,8.32268876673237
b3310,11.0318091177296
b3311,13.3096629699054
b3312,5.21208800317574
b3313,6.68302899000333
b3314,7.27287088003927
b3315,6.23514076280955
b3316,7.98542926821496
b3317,8.16334247539569
b3318,13.4596235047175
b3319,8.09298575960114
b3320,8.49534485299546
b3321,5.96418383335334
b3341,9.05589623697537
b3359,3.11207764352808
b3384,0.88800096356435
b3386,15.8334253766454
b3389,27.357332700763
b3390,12.899485929779
b3433,2.03496885900247
b3559,5.90772280213743
b3560,7.1207231338796
b3612,265.911067478913
b3636,11.5151310301841
b3637,8.80663145364175
b3640,1.25229738182037
b3648,19.3142929266395
b3671,14.4009768370504
b3703,6.22917688241316
b3729,0.806165887713766
b3730,3.81267400864582
b3731,473.176675994321
b3732,190.361932660452
b3733,869.372451603532
b3734,304.239230153081
b3735,724.505431601805
b3736,1020.66677419145
b3770,12.758988202501
b3771,456.95372444338
b3774,1.7206619922555
b3809,35.2912534066496
b3829,0.12044027486388
b3870,1.78633527957788
b3916,67.9609524684967
b3936,17.5813301714251
b3939,3.82215678009507
b3940,106.297982256757
b3956,29.3193495783998
b3957,11.8692473707892
b3958,21.5732246865313
b3959,7.45754375717929
b3960,9.58405962243934
b3972,19.8857114960743
b3983,9.12032990418373
b3984,7.07039008279226
b3985,7.68953745001904
b3986,4.1227638456781
b4005,6.42801221711624
b4006,5.07656313883777
b4013,3.79796591439826
b4019,8.20620327487078
b4024,26.7407910348272
b4025,56.3247173531296
b4036,8404.68914603691
b4054,13.2472503086624
b4129,106.018991715449
b4153,1047.2397870873
b4154,1879.66115631053
b4177,0.565496805879993
b4200,7.11347812829042
b4202,9.38575652064208
b4203,6.98500012837211
b4232,2828.59543175582
b4244,0.665083408177957
b4245,3.37392122597861
b4254,4.95579294044167
b4258,9.65621815467027
b4388,311.924507271007
b4395,1949.19890446454
