,MW
DURIt2pp_num1,43.4752
DURIt2pp_num2,46.3887
FE2abcpp,84.4727
FRUptspp,290.9258
FUCtpp,47.5443
FUMt2_2pp,45.4357
FUMt2_3pp_num1,47.9347
FUMt2_3pp_num2,45.7502
FUMt2_3pp_num3,48.4117
FEENTERtonex,150.0137
CSNt2pp,43.6491
CYNTt2pp,41.3602
CYTDt2pp_copy1_num1,43.4752
CYTDt2pp_copy1_num2,46.3887
CYTDt2pp_copy2,46.1393
DADNt2pp_num1,43.4752
DADNt2pp_num2,46.3887
DCYTt2pp_num1,43.4752
DCYTt2pp_num2,46.3887
DDGLCNt2rpp,33.6689
RMNtex_num1,117.9984
RMNtex_num2,116.7646
RMNtex_num3,121.1028
RMNtex_num4,41.2193
MALTTRtexi,149.7349
MALTTTRtexi,149.7349
MALTPTtexi,149.7349
MALTtexi,149.7349
GLCtex_copy1,149.7349
FE3DCITtonex,153.2284
PHEtex_num1,41.2193
PHEtex_num2,116.7646
PHEtex_num3,117.9984
PHEtex_num4,121.1028
PItex_num1,41.2193
PItex_num2,116.7646
PItex_num3,117.9984
PItex_num4,121.1028
ACGAMK,33.0423
METS_num1,135.9954
METS_num2,84.6725
CYSabc2pp,127.9748
PRASCSi,80.9841
TRSARr_num1,123.2009
TRSARr_num2,30.4271
LYXI,188.7955
PNTOtex_num1,41.2193
PNTOtex_num2,116.7646
PNTOtex_num3,117.9984
PNTOtex_num4,121.1028
PPPNtex_num1,41.2193
PPPNtex_num2,116.7646
PPPNtex_num3,117.9984
PPPNtex_num4,121.1028
PPTtex_num1,41.2193
PPTtex_num2,116.7646
PPTtex_num3,117.9984
PPTtex_num4,121.1028
PTRCtex_num1,41.2193
PTRCtex_num2,116.7646
PTRCtex_num3,117.9984
PTRCtex_num4,121.1028
PYRtex_num1,41.2193
PYRtex_num2,116.7646
PYRtex_num3,117.9984
PYRtex_num4,121.1028
DSERtex_num1,41.2193
DSERtex_num2,116.7646
DSERtex_num3,117.9984
DSERtex_num4,121.1028
SERtex_num1,41.2193
SERtex_num2,116.7646
SERtex_num3,117.9984
SERtex_num4,121.1028
SO4tex_num1,41.2193
SO4tex_num2,116.7646
SO4tex_num3,117.9984
SO4tex_num4,121.1028
SPMDtex_num1,117.9984
SPMDtex_num2,121.1028
SPMDtex_num3,116.7646
SPMDtex_num4,41.2193
SUCCtex_num1,41.2193
SUCCtex_num2,116.7646
SUCCtex_num3,117.9984
SUCCtex_num4,121.1028
SUCRtex_num1,41.2193
SUCRtex_num2,116.7646
SUCRtex_num3,117.9984
SUCRtex_num4,121.1028
TARTRtex_num1,41.2193
TARTRtex_num2,116.7646
TARTRtex_num3,117.9984
TARTRtex_num4,121.1028
TAURtex_num1,41.2193
TAURtex_num2,116.7646
TAURtex_num3,117.9984
TAURtex_num4,121.1028
THRtex_num1,41.2193
THRtex_num2,116.7646
THRtex_num3,117.9984
THRtex_num4,121.1028
THMDtex_num1,41.2193
THMDtex_num2,116.7646
THMDtex_num3,117.9984
THMDtex_num4,121.1028
CBIuabcpp,153.426
METDtex_num1,41.2193
METDtex_num2,116.7646
METDtex_num3,117.9984
METDtex_num4,121.1028
METtex_num1,41.2193
METtex_num2,116.7646
METtex_num3,117.9984
METtex_num4,121.1028
MNLtex_num1,116.7646
MNLtex_num2,41.2193
MNLtex_num3,121.1028
MNLtex_num4,117.9984
NAtex_num1,41.2193
NAtex_num2,116.7646
NAtex_num3,117.9984
NAtex_num4,121.1028
NACtex_num1,41.2193
NACtex_num2,116.7646
NACtex_num3,117.9984
NACtex_num4,121.1028
NH4tex_num1,116.7646
NH4tex_num2,41.2193
NH4tex_num3,121.1028
NH4tex_num4,117.9984
URIH_num1,33.8225
URIH_num2,134.9906
URIH_num3,32.5604
XTSNH,32.5604
INSH,32.5604
BUTtex_num1,41.2193
BUTtex_num2,116.7646
BUTtex_num3,117.9984
BUTtex_num4,121.1028
CHLtex_num1,41.2193
CHLtex_num2,116.7646
CHLtex_num3,117.9984
CHLtex_num4,121.1028
CO2tex_num1,41.2193
CO2tex_num2,116.7646
CO2tex_num3,117.9984
CO2tex_num4,121.1028
CRNtex_num1,41.2193
CRNtex_num2,116.7646
CRNtex_num3,117.9984
CRNtex_num4,121.1028
PPK2,160.861
DINStex_num1,41.2193
DINStex_num2,116.7646
DINStex_num3,117.9984
DINStex_num4,121.1028
DMStex_num1,41.2193
DMStex_num2,116.7646
DMStex_num3,117.9984
DMStex_num4,121.1028
CSNtex_num1,41.2193
CSNtex_num2,116.7646
CSNtex_num3,117.9984
CSNtex_num4,121.1028
CYNTtex_num1,117.9984
CYNTtex_num2,121.1028
CYNTtex_num3,116.7646
CYNTtex_num4,41.2193
CYStex_num1,41.2193
CYStex_num2,116.7646
CYStex_num3,117.9984
CYStex_num4,121.1028
CYTDtex_num1,41.2193
CYTDtex_num2,116.7646
CYTDtex_num3,117.9984
CYTDtex_num4,121.1028
DCAtex_num1,41.2193
DCAtex_num2,116.7646
DCAtex_num3,117.9984
DCAtex_num4,121.1028
DCYTtex,33.5886
DGSNtex_num1,41.2193
DGSNtex_num2,116.7646
DGSNtex_num3,117.9984
DGSNtex_num4,121.1028
MTHFR2,132.4094
ASPO3,60.3367
ASPO5,60.3367
ASPO4,60.3367
ASPO6,60.3367
LCTStex_num1,41.2193
LCTStex_num2,116.7646
LCTStex_num3,117.9984
LCTStex_num4,121.1028
LEUtex_num1,41.2193
LEUtex_num2,116.7646
LEUtex_num3,117.9984
LEUtex_num4,121.1028
LYStex_num1,41.2193
LYStex_num2,116.7646
LYStex_num3,117.9984
LYStex_num4,121.1028
LYXtex_num1,41.2193
LYXtex_num2,116.7646
LYXtex_num3,117.9984
LYXtex_num4,121.1028
MANtex_num1,41.2193
MANtex_num2,116.7646
MANtex_num3,117.9984
MANtex_num4,121.1028
MAN6Ptex_num1,117.9984
MAN6Ptex_num2,121.1028
MAN6Ptex_num3,116.7646
MAN6Ptex_num4,41.2193
MELIBtex_num1,41.2193
MELIBtex_num2,116.7646
MELIBtex_num3,117.9984
MELIBtex_num4,121.1028
DMSOtex_num1,41.2193
DMSOtex_num2,116.7646
DMSOtex_num3,117.9984
DMSOtex_num4,121.1028
DURItex,33.5886
FRUtex_num1,41.2193
FRUtex_num2,116.7646
FRUtex_num3,117.9984
FRUtex_num4,121.1028
FUCtex_num1,41.2193
FUCtex_num2,116.7646
FUCtex_num3,117.9984
FUCtex_num4,121.1028
FUMtex_num1,41.2193
FUMtex_num2,116.7646
FUMtex_num3,117.9984
FUMtex_num4,121.1028
ACACT5r_num1,81.7516
ACACT5r_num2,46.53
MALDDH,40.3145
FE2tex_num1,116.7646
FE2tex_num2,41.2193
FE2tex_num3,121.1028
FE2tex_num4,117.9984
NMNtex_num1,41.2193
NMNtex_num2,116.7646
NMNtex_num3,117.9984
NMNtex_num4,121.1028
NO2tex_num1,41.2193
NO2tex_num2,116.7646
NO2tex_num3,117.9984
NO2tex_num4,121.1028
DHPS2,61.2295
MTHFC,62.0868
MTHFD,62.0868
BUTt2rpp,47.5272
CADVtpp,46.6645
QULNS,76.4808
ALKP,20.7796
GDPtex_num1,121.1028
GDPtex_num2,117.9984
GDPtex_num3,41.2193
GDPtex_num4,116.7646
TMAtex_num1,41.2193
TMAtex_num2,116.7646
TMAtex_num3,117.9984
TMAtex_num4,121.1028
TMAOtex_num1,41.2193
TMAOtex_num2,116.7646
TMAOtex_num3,117.9984
TMAOtex_num4,121.1028
TREtex_num1,41.2193
TREtex_num2,116.7646
TREtex_num3,117.9984
TREtex_num4,121.1028
L_LACD3_num1,104.2678
L_LACD3_num2,42.7277
L_LACD2_num1,104.2678
L_LACD2_num2,42.7277
ACACT6r_num1,46.53
ACACT6r_num2,81.7516
TRPtex_num1,41.2193
TRPtex_num2,116.7646
TRPtex_num3,117.9984
TRPtex_num4,121.1028
TSULtex_num1,41.2193
TSULtex_num2,116.7646
TSULtex_num3,117.9984
TSULtex_num4,121.1028
TYRtex_num1,41.2193
TYRtex_num2,116.7646
TYRtex_num3,117.9984
TYRtex_num4,121.1028
URAtex_num1,41.2193
URAtex_num2,116.7646
URAtex_num3,117.9984
URAtex_num4,121.1028
UREAtex_num1,41.2193
UREAtex_num2,116.7646
UREAtex_num3,117.9984
UREAtex_num4,121.1028
URItex,33.5886
VALtex_num1,41.2193
VALtex_num2,116.7646
VALtex_num3,117.9984
VALtex_num4,121.1028
XANtex_num1,41.2193
XANtex_num2,116.7646
XANtex_num3,117.9984
XANtex_num4,121.1028
XYLtex_num1,41.2193
XYLtex_num2,116.7646
XYLtex_num3,117.9984
XYLtex_num4,121.1028
ABUTtex_num1,41.2193
ABUTtex_num2,116.7646
ABUTtex_num3,117.9984
ABUTtex_num4,121.1028
FORtppi_num1,154.952
FORtppi_num2,30.5643
GLCTR1,42.2836
LIPAabcpp,128.92
LIPACabcpp,128.92
GGGABADr,53.418
GLYOX3,62.3802
FDMO3,166.9429
FDMO4,166.9429
BUTSO3abcpp_num1,147.883
BUTSO3abcpp_num2,150.4815
ETHSO3abcpp,147.883
O16GLCT1,43.1876
O16AP2pp,81.1981
O16AP3pp,81.1981
O16A4Lpp,46.8771
MALTATr,60.2873
ENTERES,45.6514
23CAMPtex_num1,41.2193
23CAMPtex_num2,116.7646
23CAMPtex_num3,117.9984
23CAMPtex_num4,121.1028
23CCMPtex_num1,41.2193
23CCMPtex_num2,116.7646
23CCMPtex_num3,117.9984
23CCMPtex_num4,121.1028
23CUMPtex_num1,41.2193
23CUMPtex_num2,116.7646
23CUMPtex_num3,117.9984
23CUMPtex_num4,121.1028
23CGMPtex_num1,41.2193
23CGMPtex_num2,116.7646
23CGMPtex_num3,117.9984
23CGMPtex_num4,121.1028
3AMPtex_num1,41.2193
3AMPtex_num2,116.7646
3AMPtex_num3,117.9984
3AMPtex_num4,121.1028
3CMPtex_num1,41.2193
3CMPtex_num2,116.7646
3CMPtex_num3,117.9984
3CMPtex_num4,121.1028
LADGMDH,53.1154
ALAGLUE,34.6736
FEENTERtpp,43.2814
FEENTERtex,161.2201
PTRCt2pp_num1,50.8524
PTRCt2pp_num2,46.4943
PTRCt2pp_num3,49.5371
GGGABAH,56.0254
FRULYSK,28.3315
FDMO6,166.9429
SULFACabcpp,147.883
ETHSO3tex_num1,41.2193
ETHSO3tex_num2,116.7646
ETHSO3tex_num3,117.9984
ETHSO3tex_num4,121.1028
BUTSO3tex_num1,41.2193
BUTSO3tex_num2,116.7646
BUTSO3tex_num3,117.9984
BUTSO3tex_num4,121.1028
LIPOtex_num1,117.9984
LIPOtex_num2,41.2193
LIPOtex_num3,121.1028
LIPOtex_num4,116.7646
CYANSTpp,11.4752
MCPST,30.8114
PHEMEabcpp,123.0526
GALBDtex_num1,117.9984
GALBDtex_num2,121.1028
GALBDtex_num3,116.7646
GALBDtex_num4,41.2193
LIPAHT2ex,43.5386
LIPAHTex,43.5386
ECAP1pp,135.9644
UDCPDPpp_num1,29.7584
UDCPDPpp_num2,29.0209
UDCPDPpp_num3,22.3984
ECAP2pp,135.9644
ECA4OALpp,46.8771
FE3Ri,26.2417
SULFACtex_num1,116.7646
SULFACtex_num2,41.2193
SULFACtex_num3,121.1028
SULFACtex_num4,117.9984
NODOy,43.8671
GALM2pp,38.19
CU1abcpp,87.8721
HG2abcpp,76.839
GLCTR3,39.0399
HEPT4,41.7289
LA4NTpp,62.5418
NODOx,43.8671
NOtex_num1,41.2193
NOtex_num2,116.7646
NOtex_num3,117.9984
NOtex_num4,121.1028
NHFRBO,258.3374
N2Otex_num1,41.2193
N2Otex_num2,116.7646
N2Otex_num3,117.9984
N2Otex_num4,121.1028
CRNt8pp,169.7599
CRNt2rpp,109.6903
CRNDt2rpp,109.6903
CTBTt2rpp,109.6903
42A12BOOXpp,168.7552
TYROXDApp,168.7552
PEAMNtex_num1,41.2193
PEAMNtex_num2,116.7646
PEAMNtex_num3,117.9984
PEAMNtex_num4,121.1028
PACALDtex_num1,41.2193
PACALDtex_num2,116.7646
PACALDtex_num3,117.9984
PACALDtex_num4,121.1028
NTRIR4pp,134.0256
NTRIR3pp,134.0256
INOSTt4pp,62.0842
AGM3PA,20.5359
CYANtex_num1,41.2193
CYANtex_num2,116.7646
CYANtex_num3,117.9984
CYANtex_num4,121.1028
SO3tex_num1,41.2193
SO3tex_num2,116.7646
SO3tex_num3,117.9984
SO3tex_num4,121.1028
TCYNTtex_num1,41.2193
TCYNTtex_num2,116.7646
TCYNTtex_num3,117.9984
TCYNTtex_num4,121.1028
ACANTHAT,64.5484
METSOX1tex_num1,41.2193
METSOX1tex_num2,116.7646
METSOX1tex_num3,117.9984
METSOX1tex_num4,121.1028
METSOX2tex_num1,41.2193
METSOX2tex_num2,116.7646
METSOX2tex_num3,117.9984
METSOX2tex_num4,121.1028
3UMPtex_num1,41.2193
3UMPtex_num2,116.7646
3UMPtex_num3,117.9984
3UMPtex_num4,121.1028
3GMPtex_num1,41.2193
3GMPtex_num2,116.7646
3GMPtex_num3,117.9984
3GMPtex_num4,121.1028
METSOXR1_num1,101.4043
METSOXR1_num2,38.8694
METSOXR1_num3,35.1213
METSOXR1_num4,97.6561
METSOXR2_num1,48.0493
METSOXR2_num2,31.0056
METSOXR2_num3,27.2575
METSOXR2_num4,51.7974
DAPAL,86.6542
AMPTASECG_num1,277.0777
AMPTASECG_num2,98.9177
AMPTASECG_num3,329.2752
AMPTASECG_num4,105.8295
DOPAtex_num1,41.2193
DOPAtex_num2,116.7646
DOPAtex_num3,117.9984
DOPAtex_num4,121.1028
4HOXPACDtex_num1,41.2193
4HOXPACDtex_num2,116.7646
4HOXPACDtex_num3,117.9984
4HOXPACDtex_num4,121.1028
LACZpp,83.4591
GPDDA1pp,81.6857
GPDDA5pp,81.6857
ETHAtex_num1,41.2193
ETHAtex_num2,116.7646
ETHAtex_num3,117.9984
ETHAtex_num4,121.1028
G3PStex_num1,41.2193
G3PStex_num2,116.7646
G3PStex_num3,117.9984
G3PStex_num4,121.1028
FLVR_num1,26.2417
FLVR_num2,786.1414
FDMO2,166.9429
LALGP,105.8295
AGM4PApp_num1,31.4117
AGM4PApp_num2,45.6339
AGM4PApp_num3,47.9846
AGM4PApp_num4,31.0721
AGM4PA,20.5359
RNDR3b_num1,258.1916
RNDR3b_num2,243.5264
RNDR3b_num3,242.9791
RNDR3b_num4,259.5989
RNDR4b_num1,259.5989
RNDR4b_num2,243.5264
RNDR4b_num3,242.9791
RNDR4b_num4,258.1916
ACGAL1Ptex_num1,41.2193
ACGAL1Ptex_num2,116.7646
ACGAL1Ptex_num3,117.9984
ACGAL1Ptex_num4,121.1028
ACGALtex_num1,41.2193
ACGALtex_num2,116.7646
ACGALtex_num3,117.9984
ACGALtex_num4,121.1028
GLCUR1Ptex_num1,41.2193
GLCUR1Ptex_num2,116.7646
GLCUR1Ptex_num3,117.9984
GLCUR1Ptex_num4,121.1028
UDPGLCURtex_num1,41.2193
UDPGLCURtex_num2,116.7646
UDPGLCURtex_num3,117.9984
UDPGLCURtex_num4,121.1028
UDPGALPpp,60.8232
UACGAMPpp,60.8232
UACGALPpp,60.8232
UGLCURPpp,60.8232
FEROpp_num1,56.5555
FEROpp_num2,443.8756
ISETACabcpp_num1,150.4815
ISETACabcpp_num2,147.883
ISETACtex_num1,41.2193
ISETACtex_num2,116.7646
ISETACtex_num3,117.9984
ISETACtex_num4,121.1028
UDPGtex_num1,41.2193
UDPGtex_num2,116.7646
UDPGtex_num3,117.9984
UDPGtex_num4,121.1028
UDPGALtex_num1,121.1028
UDPGALtex_num2,117.9984
UDPGALtex_num3,41.2193
UDPGALtex_num4,116.7646
ACGAM1Ptex_num1,41.2193
ACGAM1Ptex_num2,116.7646
ACGAM1Ptex_num3,117.9984
ACGAM1Ptex_num4,121.1028
UACGAMtex_num1,41.2193
UACGAMtex_num2,116.7646
UACGAMtex_num3,117.9984
UACGAMtex_num4,121.1028
UDPACGALtex_num1,41.2193
UDPACGALtex_num2,116.7646
UDPACGALtex_num3,117.9984
UDPACGALtex_num4,121.1028
AM4PCP,33.5671
AM3PA,20.5359
UM4PCP,33.5671
CBLAT,21.9986
MSO3abcpp,147.883
MSO3tex_num1,41.2193
MSO3tex_num2,116.7646
MSO3tex_num3,117.9984
MSO3tex_num4,121.1028
TDP,17.4327
3PEPTabcpp_num1,206.8443
3PEPTabcpp_num2,200.749
3PEPTabcpp_num3,201.7477
4PEPTabcpp_num1,201.7477
4PEPTabcpp_num2,206.8443
AGM3Pt2pp,53.2445
AGM4Pt2pp,53.2445
AGMt2pp,53.2445
FEOXAMR1,30.1124
FEOXAMR2,30.1124
FEOXAMR3,30.1124
PTHRpp_num1,104.4129
PTHRpp_num2,98.876
ARABDI,389.8559
AGt3,773.0013
CD2t3pp_num1,65.8537
CD2t3pp_num2,34.678
ZNabcpp,178.7449
SKMt2pp,47.8168
FE2t2pp,44.1931
R5PPpp_num1,104.4129
R5PPpp_num2,98.876
PSP_Lpp_num1,104.4129
PSP_Lpp_num2,98.876
TYRPpp,104.4129
GLYC2Ptex_num1,41.2193
GLYC2Ptex_num2,116.7646
GLYC2Ptex_num3,117.9984
GLYC2Ptex_num4,121.1028
PSERtex_num1,41.2193
PSERtex_num2,116.7646
PSERtex_num3,117.9984
PSERtex_num4,121.1028
R5Ptex_num1,41.2193
R5Ptex_num2,116.7646
R5Ptex_num3,117.9984
R5Ptex_num4,121.1028
THRPtex_num1,41.2193
THRPtex_num2,116.7646
THRPtex_num3,117.9984
THRPtex_num4,121.1028
TYRPtex_num1,41.2193
TYRPtex_num2,116.7646
TYRPtex_num3,117.9984
TYRPtex_num4,121.1028
PAPSR2_num1,80.3009
PAPSR2_num2,65.0883
PAPSR2_num3,65.6357
PAPSR2_num4,81.7082
GRXR_num1,25.7572
GRXR_num2,24.3499
GRXR_num3,9.1374
GRXR_num4,9.6847
RNDR1b_num1,243.5264
RNDR1b_num2,258.1916
RNDR1b_num3,242.9791
RNDR1b_num4,259.5989
RNDR2b_num1,259.5989
RNDR2b_num2,243.5264
RNDR2b_num3,258.1916
RNDR2b_num4,242.9791
FACOAE181,127.8637
FACOAE160,127.8637
FACOAE140,127.8637
AAMYL,56.6387
AAMYLpp,75.7117
FACOAL80t2pp_num1,124.6625
FACOAL80t2pp_num2,62.7586
PPGPPDP,79.3415
CPGNabcpp,161.1923
CITtex_num1,41.2193
CITtex_num2,116.7646
CITtex_num3,117.9984
CITtex_num4,121.1028
ACGAtex_num1,41.2193
ACGAtex_num2,116.7646
ACGAtex_num3,117.9984
ACGAtex_num4,121.1028
DDCAtexi,48.541
TTDCAtexi,48.541
HDCAtexi,48.541
23PDE2pp,70.8313
23PDE4pp,70.8313
23PDE9pp,70.8313
SARCOX,40.9015
MN6PP_num1,29.7208
MN6PP_num2,30.4125
MN6PP_num3,24.33
MN6PP_num4,29.7074
3KGK,110.3085
F6PP_num1,23.0072
F6PP_num2,29.7208
F6PP_num3,30.4125
F6PP_num4,20.7796
F6PP_num5,29.7074
GDPMNH,36.5465
FACOAL60t2pp_num1,124.6625
FACOAL60t2pp_num2,62.7586
IDONt2rpp,46.0407
ILEabcpp,173.063
INDOLEt2pp,743.4823
INSt2pp_num1,46.1393
INSt2pp_num2,46.3887
INSt2pp_num3,43.4752
LYXt2pp,37.3194
GDPDPK_num1,83.8746
GDPDPK_num2,79.3415
OCDCAtexi,48.541
OCDCEAtexi,48.541
G6Ptex_num1,41.2193
G6Ptex_num2,116.7646
G6Ptex_num3,117.9984
G6Ptex_num4,121.1028
TUNGSabcpp,116.3428
MOBDabcpp_num1,181.6043
MOBDabcpp_num2,116.3428
MOBDabcpp_num3,182.5595
MOBDtex_num1,41.2193
MOBDtex_num2,116.7646
MOBDtex_num3,117.9984
MOBDtex_num4,121.1028
NI2uabcpp_num1,180.869
NI2uabcpp_num2,99.4653
NI2tex_num1,41.2193
NI2tex_num2,116.7646
NI2tex_num3,117.9984
NI2tex_num4,121.1028
R15BPK,20.7294
Kabcpp_num1,151.6536
Kabcpp_num2,154.7253
LEUabcpp_num1,173.063
LEUabcpp_num2,173.3653
L_LACt2rpp_num1,59.1674
L_LACt2rpp_num2,58.9194
MALt2_2pp,45.4357
MALt2_3pp_num1,47.9347
MALt2_3pp_num2,45.7502
MALTabcpp,214.6047
MALTHXabcpp,214.6047
MALTPTabcpp,214.6047
MALTTRabcpp,214.6047
MALTTTRabcpp,214.6047
MAN6Pt6_2pp,50.606
MANGLYCptspp,205.9085
MELIBt2pp_num1,52.6358
MELIBt2pp_num2,46.5027
METabcpp,151.5187
GGPTRCS,638.119
RMNtpp,37.3194
SERt4pp,43.4772
SUCCt2_3pp_num1,47.9347
SUCCt2_3pp_num2,45.7502
MNLptspp_num1,201.258
MNLptspp_num2,272.1844
MNLptspp_num3,203.4571
NAt3_1p5pp,56.7277
NAt3_2pp,82.7104
NH4tpp,133.5425
NMNPtpp,26.9959
NO2t2rpp_num1,49.6928
NO2t2rpp_num2,28.5622
NO3t7pp_num1,49.6928
NO3t7pp_num2,49.8895
ORNabcpp,136.8151
PIuabcpp,161.5194
PNTOt4pp,51.7164
FRULYSDG,462.8254
METDabcpp,151.5187
PROabcpp,199.5851
PROt2rpp_num1,109.6903
PROt2rpp_num2,50.2151
PROt4pp,54.3435
PTRCabcpp_num1,142.416
PTRCabcpp_num2,190.729
PTRCabcpp_num3,185.0943
ASNNpp,147.401
GLUNpp,147.401
NTD12_num1,25.3985
NTD12_num2,26.9001
NTD12_num3,45.4156
NTD12_num4,20.2552
FECRMtonex,150.0891
ADOCBLabcpp,153.426
CRNabcpp,199.5851
CRNDabcpp,199.5851
DNTPPA_num1,17.3056
DNTPPA_num2,14.9269
CTBTabcpp,199.5851
NTPP9,42.0772
NTPP10,42.0772
NTPP11,42.0772
NTD10pp_num1,104.4129
NTD10pp_num2,60.8232
NTD1pp_num1,60.8232
NTD1pp_num2,104.4129
NTD2pp_num1,60.8232
NTD2pp_num2,104.4129
NTD2pp_num3,98.876
NTD3pp_num1,60.8232
NTD3pp_num2,104.4129
NTD4pp_num1,104.4129
NTD4pp_num2,60.8232
NTD4pp_num3,98.876
NTD5pp_num1,104.4129
NTD5pp_num2,60.8232
NTD6pp_num1,60.8232
NTD6pp_num2,104.4129
NTD7pp_num1,104.4129
NTD7pp_num2,60.8232
NTD7pp_num3,98.876
NTD9pp_num1,104.4129
NTD9pp_num2,60.8232
NTD9pp_num3,98.876
PEAMNOpp,168.7552
GAL1PPpp,91.3648
H2O2tex_num1,41.2193
H2O2tex_num2,116.7646
H2O2tex_num3,117.9984
H2O2tex_num4,121.1028
ARGDCpp,295.5905
ALLPI,32.1463
ALLK,33.8206
ALLULPE,26.1089
ADEtex_num1,41.2193
ADEtex_num2,116.7646
ADEtex_num3,117.9984
ADEtex_num4,121.1028
ADNtex,33.5886
AGMtex_num1,41.2193
AGMtex_num2,116.7646
AGMtex_num3,117.9984
AGMtex_num4,121.1028
ALAtex_num1,121.1028
ALAtex_num2,116.7646
ALAtex_num3,41.2193
ALAtex_num4,117.9984
BALAtex_num1,41.2193
BALAtex_num2,116.7646
BALAtex_num3,117.9984
BALAtex_num4,121.1028
DALAtex_num1,41.2193
DALAtex_num2,116.7646
DALAtex_num3,117.9984
DALAtex_num4,121.1028
AMPtex_num1,117.9984
AMPtex_num2,121.1028
AMPtex_num3,116.7646
AMPtex_num4,41.2193
ARBtex_num1,41.2193
ARBtex_num2,116.7646
ARBtex_num3,117.9984
ARBtex_num4,121.1028
ARGtex_num1,41.2193
ARGtex_num2,116.7646
ARGtex_num3,117.9984
ARGtex_num4,121.1028
ASCBtex_num1,41.2193
ASCBtex_num2,116.7646
ASCBtex_num3,117.9984
ASCBtex_num4,121.1028
FACOAL100t2pp_num1,124.6625
FACOAL100t2pp_num2,62.7586
RIBabcpp_num1,305.8172
RIBabcpp_num2,160.2394
RIBabcpp_num3,158.2843
GPDDA3pp,81.6857
GPDDA4pp,81.6857
GPDDA2pp,81.6857
FACOAL120t2pp_num1,62.7586
FACOAL120t2pp_num2,124.6625
FACOAL140t2pp_num1,62.7586
FACOAL140t2pp_num2,124.6625
FE3HOXtonex,150.0891
CU2abcpp,76.839
COBALT2abcpp,76.839
NI2abcpp,76.839
MG2uabcpp,99.4653
HCYSMT2,33.4224
MMETtex_num1,41.2193
MMETtex_num2,116.7646
MMETtex_num3,117.9984
MMETtex_num4,121.1028
FE3tex_num1,41.2193
FE3tex_num2,116.7646
FE3tex_num3,117.9984
FE3tex_num4,121.1028
MG2tex_num1,41.2193
MG2tex_num2,116.7646
MG2tex_num3,117.9984
MG2tex_num4,121.1028
Zn2tex_num1,41.2193
Zn2tex_num2,116.7646
Zn2tex_num3,117.9984
Zn2tex_num4,121.1028
MMETt2pp,50.5252
CD2tex_num1,41.2193
CD2tex_num2,116.7646
CD2tex_num3,117.9984
CD2tex_num4,121.1028
GLNabcpp,129.3791
GLUabcpp,139.1582
GLUABUTt7pp,55.076
GLUt2rpp,47.1586
GLUt4pp,42.4246
GLYALDtpp,119.1185
ACGK,54.3184
LCTSt3ipp_num1,42.7456
LCTSt3ipp_num2,42.5377
LCTSt3ipp_num3,42.7127
ARBt3ipp,42.5377
14GLUCANabcpp,214.6047
14GLUCANtexi,149.7349
DHPTPE,112.6549
NADPHQR2,43.7813
NADPHQR3,43.7813
NADPHQR4,43.7813
GLBRAN2,84.3358
ASR,40.203
ASO3tex_num1,41.2193
ASO3tex_num2,116.7646
ASO3tex_num3,117.9984
ASO3tex_num4,121.1028
MANGLYCtex_num1,41.2193
MANGLYCtex_num2,116.7646
MANGLYCtex_num3,117.9984
MANGLYCtex_num4,121.1028
FRUURt2rpp,47.1374
FRUURtex_num1,41.2193
FRUURtex_num2,116.7646
FRUURtex_num3,117.9984
FRUURtex_num4,121.1028
ECAtpp,44.9591
O16AT,21.6748
O16GALFT,37.7568
O16AUNDtpp,45.382
O16AP1pp,81.1981
GLYCAt2rpp_num1,49.0087
GLYCAt2rpp_num2,49.1415
GLYCAtex_num1,41.2193
GLYCAtex_num2,116.7646
GLYCAtex_num3,117.9984
GLYCAtex_num4,121.1028
AGM4PCP,33.5671
4PCP,33.5671
4PCPpp,21.0396
FALDH2,78.7171
GLYBabcpp_num1,133.6852
GLYBabcpp_num2,199.5851
GLYC3Pt6pp,50.3098
GLYCLTt4pp,118.3928
GLYCtpp,119.1185
H2Otpp,94.81
HCINNMt2rpp,41.5503
HISabcpp,137.3068
HISt2rpp,49.6895
CBIAT,21.9986
LYSabcpp,136.8151
COBALT2tex_num1,41.2193
COBALT2tex_num2,116.7646
COBALT2tex_num3,117.9984
COBALT2tex_num4,121.1028
PPDOy,37.978
NTD12pp_num1,60.8232
NTD12pp_num2,104.4129
PPA2_num1,116.2706
PPA2_num2,26.9001
DIMPtex_num1,41.2193
DIMPtex_num2,116.7646
DIMPtex_num3,117.9984
DIMPtex_num4,121.1028
3NTD7pp_num1,70.8313
3NTD7pp_num2,98.876
3NTD4pp_num1,98.876
3NTD4pp_num2,70.8313
3NTD4pp_num3,98.876
3NTD2pp_num1,70.8313
3NTD2pp_num2,98.876
3NTD9pp_num1,70.8313
3NTD9pp_num2,98.876
23PDE7pp,70.8313
GALTptspp,260.0995
GALURt2rpp,46.8918
GLCNt2rpp_num1,45.9661
GLCNt2rpp_num2,47.1374
GLCNt2rpp_num3,46.4154
GLCNt2rpp_num4,46.0407
GLCptspp_num1,255.8441
GLCptspp_num2,211.1186
GLCptspp_num3,295.8814
GLCRt2rpp_num1,49.0087
GLCRt2rpp_num2,49.1415
GLCt2pp,50.9819
GLCURt2rpp_num1,33.6689
GLCURt2rpp_num2,46.8918
ACMUMptspp,204.2936
HSTPT,78.7193
THDPS,59.7835
ACONMT,29.0056
XTSNtex_num1,41.2193
