,MW
SERD_L_num5,140.9281
THRD_num1,148.9546
THRD_num2,40.3509
KARA1,216.2737
KARA2,216.2737
ACCOAC,252.4528
NADK,195.396
ICHORS_copy2,97.5279
SUCBZS,35.4762
DHBD,104.9974
ICHORT,32.554
RBK_L1,122.1774
RBP4E_num1,25.2774
RBP4E_num2,102.0744
RBP4E_num3,25.5606
NTD2_num1,25.3003
NTD2_num2,26.9001
NTD2_num3,27.1628
NTD4_num1,26.9001
NTD4_num2,27.1628
NTD5_num1,45.4156
NTD5_num2,26.9001
NTD5_num3,25.3003
NTD5_num4,20.2552
NTD6_num1,45.4156
NTD6_num2,26.9001
NTD6_num3,20.2552
LGTHL,29.8393
PYDXPP_num1,30.201
PYDXPP_num2,30.3706
PYDXPP_num3,29.7074
PYDXPP_num4,27.1628
PDXPP,30.201
HACD6_num1,159.1859
HACD6_num2,77.0713
ECOAH1_num1,77.0713
ECOAH1_num2,159.1859
ECOAH2_num1,77.0713
ECOAH2_num2,159.1859
ECOAH3_num1,77.0713
ECOAH3_num2,159.1859
UGLT,79.2904
DXPS,135.2323
CDPMEK,61.85
MECDPS,50.692
DDGLK,33.962
XYLI2,198.9657
PMANM,50.462
ICL,190.084
GLYCL,364.0834
HCYSMT,33.4224
UDPG4E,74.5293
LACZ,465.9259
TRE6PH,63.8369
XYLI1,198.9657
PPC,396.2457
G3PT_num1,30.4125
G3PT_num2,27.1628
CINNDO,126.9939
DHPPD,28.4993
DHCIND,28.4993
CITL,614.0931
GOFUCR,72.2814
PYDXK_num1,61.694
PYDXK_num2,62.6437
GTPCII2,43.6714
SADT2,350.9829
LCARS,81.0258
ALCD19_num1,141.5167
ALCD19_num2,3845.0436
RMPA,120.5806
SBTPD,111.4302
PFK_2,139.3667
GLTPD,74.7794
TGBPA_num1,172.3651
TGBPA_num2,77.9198
MANAO,53.5796
TAGURr,54.8076
PGLYCP,27.3888
GLXCL,129.4621
TARTD,110.8248
GLCRAL,164.3028
KAS14_num1,85.2257
KAS14_num2,86.0906
EDTXS1,35.4064
EDTXS2,37.41
EDTXS3,35.493
EDTXS4,37.41
NNDPR,65.5233
HACD4_num1,159.1859
HACD4_num2,77.0713
HACD7_num1,77.0713
HACD7_num2,159.1859
AACPS1,89.3385
SDPDS,82.5371
DMSOR1_num1,233.0399
DMSOR1_num2,144.0922
DKGLCNR2y,70.7902
2DGULRy,70.7902
RZ5PP,23.3082
NTD9_num1,20.2552
NTD9_num2,26.9001
NTD9_num3,25.3985
NTD9_num4,27.1628
NTD10,26.9001
ADPT,39.7172
ADK1,23.5857
OCTDPS,70.4332
AACPS2,89.3385
AACPS3,89.3385
AACPS4,89.3385
AMANK,29.6435
ACNML,130.3723
CAT_num1,336.6462
CAT_num2,320.0912
SERASr,141.9892
DMSOR2,144.0922
ACMAMUT,27.9278
DDGALK,31.3732
AB6PGH_num1,53.1607
AB6PGH_num2,55.3601
AB6PGH_num3,53.9343
AMALT1,78.5026
MLTP2,181.0425
PACCOAL,48.9523
GP4GH,31.2963
ACGAMT,81.9135
AADDGT,40.6391
GMHEPK,102.1
TRE6PS,53.6105
UDCPDP_num1,29.0209
UDCPDP_num2,22.3984
UDCPDP_num3,29.7584
TREH,63.6959
CYTK1,24.746
CYTK2,24.746
GK1,47.1848
HACD1_num1,159.1859
HACD1_num2,77.0713
HACD2_num1,159.1859
HACD2_num2,77.0713
ACACCT_num1,92.9707
ACACCT_num2,57.5616
BUTCT,92.9707
2DGULRx,70.7902
G1PTT_num1,130.7727
G1PTT_num2,130.936
TDPGDH_num1,39.7534
TDPGDH_num2,81.1156
UDPGALM,42.9653
TDPDRE,21.2698
TDPDRR,32.6937
G3PD6,148.4219
ALLTN,198.4043
UAPGR,37.8506
NDPK7_num1,23.5857
NDPK7_num2,61.853
GLYAT,86.2331
ADNUC,32.5604
GMHEPPA,21.294
S7PI,83.258
TRPS3,143.4127
CRNBTCT,90.2525
CRNCBCT,90.2525
CRNCDH,28.1899
FADRx,26.2417
GTPDPK,83.8746
NDPK2_num1,23.5857
NDPK2_num2,61.853
NDPK3_num1,61.853
NDPK3_num2,23.5857
NDPK4_num1,23.5857
NDPK4_num2,61.853
FCLT_num1,33.0519
FCLT_num2,35.884
FCLT_num3,93.5073
HBZOPT,32.5114
