,kcat_mw,flux,enz useage,enz ratio
PDH,297.91159083609136,6.84317113326706,0.0229704762881553,0.10119152549848148
NADH16pp,1295.6284956982995,22.480357880112113,0.017350928877182474,0.07643581003164085
GAPD,734.5388025047492,9.528544479345307,0.012972145851047398,0.05714601696496651
RBFSa,0.03713673311872428,0.0004401996548208081,0.011853483541848224,0.05221798917113755
KARA2,12.484042388410002,0.14337529766301518,0.011484685264776308,0.05059332715760488
KARA1_reverse,38.284396657790666,0.4314978156800783,0.011270853228720554,0.04965133580934165
ENO,946.2281746010016,8.707769522052999,0.009202610697704944,0.04054013523218037
METS,13.180038618930359,0.07617576067093254,0.005779631067356817,0.025460929812144567
FBA,478.2702717304537,1.9878917979359407,0.004156419320698001,0.01831021727179736
GHMT2r,127.10574050127329,0.5235405038194018,0.004118936735309426,0.01814509575026179
GLNS,192.219987923161,0.7730424110891487,0.0040216546647488536,0.017716540373342967
METAT,0.1287196860669879,0.0004431606390459733,0.003442834989632783,0.015166673963140012
ATPS4rpp,12744.657384624936,43.187759734563244,0.003388695233711394,0.014928172835733014
CS,1181.1013266900366,3.8196662195967614,0.003233986901277251,0.014246638331617845
PGI,2077.044031545716,6.1673605469239625,0.002969296968795733,0.013080603386765343
ARGSS,50.50262132653552,0.14597257432593164,0.0028903959931528044,0.01273302199626786
GTPCI,0.11598582717628478,0.00033014974111553186,0.002846466237756301,0.012539498844741414
GND,769.2113447018628,2.131330251510451,0.0027707992948758824,0.012206164294607412
MOHMT,0.12749031073638406,0.00033261722796940063,0.0026089608382645194,0.011493219551826077
PGK_reverse,3677.203768647461,9.528544479345307,0.0025912473386945512,0.011415186514072912
AKGDH,823.3442362297908,1.8281995267062197,0.002220455850978933,0.009781743836911598
PSERT,375.5344579258131,0.8207749572923054,0.0021856182301504,0.009628274141631718
PGCD,407.4631401486448,0.8207749572923054,0.0020143538799433053,0.008873805638516762
PGM_reverse,4323.713431529045,8.707769522052999,0.0020139562114720377,0.008872053795031002
CYTBO3_4pp,14260.636887181594,27.6339269760844,0.001937776495867699,0.008536460334218938
ASAD_reverse,283.3731904972525,0.5275861952658276,0.0018618070197114957,0.008201793038376632
GLUDy_reverse,2284.826624199539,4.1933083540010045,0.0018352851413704439,0.00808495656991385
F6PA,2852.6234237026233,5.170868275937184,0.0018126711829441354,0.007985335607683415
ASPTA_reverse,868.2110717583342,1.4448729528881017,0.0016641954933399891,0.007331257679911846
GLCDpp,1061.3160749735111,1.7013092015052904,0.0016030184048119243,0.0070617550872772
SUCDi,2392.24671100657,3.452259894466993,0.0014431036224580734,0.006357284680432041
PRASCSi,155.5843674754584,0.22098516169372068,0.0014203558190290452,0.0062570740926389656
SULR,91.07561809992785,0.12213171633894783,0.0013409924509647064,0.005907455731122054
ILETA_reverse,107.35136894993641,0.14337529766301518,0.0013355702779149338,0.005883569506233188
OPMEACPD,0.0007749685169040007,9.869947417504978e-07,0.0012735933398862987,0.005610543347516734
OGMEACPD,0.0007749685169040007,9.869947417504978e-07,0.0012735933398862987,0.005610543347516734
THDPS,144.51978950960287,0.1830623562288027,0.001266694041348841,0.005580149961889168
ADSS,125.46216650350249,0.1477057370924549,0.001177293053426839,0.00518631301069092
MTHFR2,73.40785388514088,0.07617576067093254,0.0010377058671422613,0.004571391485208199
EGMEACPR,0.0009689939868539816,9.869947417504978e-07,0.0010185767457184735,0.004487122227834685
EPMEACPR,0.0009689939868539816,9.869947417504978e-07,0.0010185767457184735,0.004487122227834685
OPMEACPS,0.0010137680020087623,9.869947417504978e-07,0.0009735903478851042,0.0042889442638110314
ASPCT,168.43140171433384,0.16324646279867794,0.0009692163167741739,0.004269675404291515
ALATA_L_reverse,536.8294618425721,0.4959678187138505,0.0009238833819059199,0.004069970845400528
KDOPS,21.01664790952463,0.019202969695497688,0.000913702783534524,0.0040251223944252155
THRS,305.64293264393865,0.2685691651882445,0.0008787023565865219,0.003870935491570581
ADSL1r,174.61216697579488,0.1477057370924549,0.0008459074739787761,0.0037264646430783086
ADSL2r,261.91825046369235,0.22098516169372068,0.0008437180734923781,0.0037168197070148816
3OAR140,45.77411063250431,0.038405939390995375,0.0008390319082185121,0.003696175807130009
OPMEACPR,0.0011971690473116512,9.869947417504978e-07,0.0008244405783518055,0.003631896820933064
OGMEACPR,0.0011971690473116512,9.869947417504978e-07,0.0008244405783518055,0.003631896820933064
GF6PTA,59.197824629434315,0.04662957957926052,0.0007876907617999764,0.0034700033559470324
XPPT,153.79394172863658,0.12003237852324508,0.000780475337156242,0.0034382173443006257
PRPPS,841.6549039549013,0.5806351886454431,0.0006898732317925821,0.003039089126839569
AIRC3_reverse,329.0153582681982,0.22098516169372068,0.0006716560675370775,0.0029588373019254514
PRFGS,356.42883763888517,0.22109521160742585,0.000620306743618281,0.0027326288265122514
GMPS,207.5431675108045,0.12003237852324508,0.0005783489765665078,0.0025477928483106068
