,kcat,MW,kcat_MW,source
LPLIPAL2E180,3725460.0,38.9783,95577.7958505117,
LPLIPAL2A180,3725460.0,38.9783,95577.7958505117,
LPLIPAL1A141pp,3725460.0,94.4886,39427.61348988132,
LPLIPAL2A160,3725460.0,38.9783,95577.7958505117,
LPLIPAL1A120pp,3725460.0,94.4886,39427.61348988132,
LPLIPAL2A141,3725460.0,38.9783,95577.7958505117,
LPLIPAL2A120,3725460.0,38.9783,95577.7958505117,
LPLIPAL1A180pp,3725460.0,94.4886,39427.61348988132,
LPLIPAL2A140,3725460.0,38.9783,95577.7958505117,
IGPDH,3600000.0,80.5559,44689.464086429434,
UAMAGS,3596400.0,46.9736,76562.15406100448,
UGMDDS,3596400.0,47.4472,75797.93960444452,
TMPPP,3596400.0,23.0153,156261.26967712786,
THIORDXi,3429289.137,20.4696,167530.83289365695,
ECOAH1_reverse,3345870.0,77.0722,43412.151203676556,
ECOAH1,3345870.0,77.0722,43412.151203676556,
PGK_reverse,3322215.0,41.1182,80796.7031630762,
AOXSr2,3285398.123,83.1885,39493.417034806494,
PGCD,3259812.857,176.7031,18447.96643069646,
ACKr,3147120.0,42.4337,74165.58065876887,
LGTHL,2805359.999,29.8397,94014.34997670887,
G1PACT,2764202.4,147.5702,18731.440358554777,
XYLK,2569370.4,105.2365,24415.20194989381,
ALLTN,2533727.454,198.4064,12770.39175147576,
G6PP,2520000.0,23.006999999999998,109531.8816012518,
RMI_reverse,2387438.64,188.7978,12645.479131642423,
HEX7,2310746.4,32.4998,71100.32677124169,
P5CR,2268260.219,281.4488,8059.228602147174,
FUM,2095740.0,120.2106,17433.903499358625,
NDP3,2073051.733,17.4329,118916.057167769,
ACS,2071300.0,72.0936,28730.705638225863,
OCBT,2039312.58,110.4814,18458.424494982868,
OCBT_reverse,2039312.58,110.4814,18458.424494982868,
PUNP7_reverse,1935298.286,179.0077,10811.257202902443,
PUNP5_reverse,1935298.286,155.6995,12429.701354211154,
PUNP2_reverse,1935298.286,155.6995,12429.701354211154,
PUNP3_reverse,1935298.286,155.6995,12429.701354211154,
PUNP1_reverse,1935298.286,155.6995,12429.701354211154,
LACZ,1911960.0,465.9314,4103.522535720924,
LACZpp,1911960.0,83.46,22908.698777857666,
ADNCYC,1870508.31,97.586,19167.793638431744,
GLYOX,1867911.0,28.4344,65691.94356132009,
MDH,1866049.412,64.6746,28852.894521187598,
LDH_D,1857960.0,146.1392,12713.631934484385,
NTP10,1849675.211,36.4253,50779.95818840201,
NDP7,1828990.311,35.353,51735.08078522332,
CDPPH,1828990.311,35.353,51735.08078522332,
PPBNGS,1827180.0,284.9983,6411.196136959414,
ACODA,1825759.416,84.6947,21556.950033473167,
GLBRAN2,1800270.0,84.3369,21346.172316032484,
GLDBRAN2,1800270.0,73.5767,24467.93618088335,
HPPK2,1798506.0,18.0788,99481.49213443368,
PRFGS,1798290.0,141.4027,12717.508222968867,
MCPST,1722768.546,30.8118,55912.62263158919,
MDH_reverse,1711311.935,64.6746,26460.340458232447,
UDPG4E,1635710.96,74.5302,21946.955194001897,
LDH_D_reverse,1632000.0,146.1392,11167.434884001008,
FUM_reverse,1599415.7140000004,120.2106,13305.113808599242,
G6PDH2r,1595032.941,55.7044,28633.877054595327,
HISTP,1550718.771,80.5559,19250.219673543463,
PYK2,1540743.0,205.4286,7500.138734333973,
PYK4,1540743.0,205.4286,7500.138734333973,
PYK3,1452685.846,205.4286,7071.48783567624,
PPNDH,1451180.975,86.2227,16830.613921855846,
ARGSL_reverse,1445385.6,50.3182,28724.906693800654,
CBPS,1443093.231,318.5455,4530.257784209792,
NNDPR,1443067.2,65.5241,22023.457018104786,
PPS,1416119.76,174.8702,8098.119405135922,
THRS,1343411.116,47.1138,28514.174530604614,
PTA2,1302064.364,463.0325,2812.0366583339182,
ASNNpp,1294539.408,147.4028,8782.325763146968,
ASNN,1294539.408,33.394,38765.628795592034,
UDPGALPpp,1256580.0,60.824,20659.279231882152,
UACGALPpp,1256580.0,60.824,20659.279231882152,
UACGAMPpp,1256580.0,60.824,20659.279231882152,
TYRTA,1209339.343,87.0756,13888.383691872352,
PUNP6_reverse,1200916.8,155.6995,7713.042109961818,
PUNP4_reverse,1200916.8,155.6995,7713.042109961818,
UPPDC1,1199329.2,39.2481,30557.63718498475,
GTHOr,1168424.727,97.545,11978.314900815007,
DURIPP_reverse,1138459.5,94.4142,12058.1385003527,
PGM,1132837.636,56.1939,20159.441434034656,
ALCD2x_reverse,1127205.0,141.5183,7965.082961002216,
TREHpp,1125766.8,63.6367,17690.5276357825,
TREH,1125766.8,63.6967,17673.863795141664,
CYSS,1100813.539,65.3283,16850.484996548206,
GLCS1,1093500.0,52.8224,20701.44484158236,
DADK,1088371.89,23.586,46144.827016026466,
PGM_reverse,1087829.223,56.1939,19358.49305707559,
CBMKr,1082160.0,31.6441,34197.84414788223,
CBMKr_reverse,1082160.0,31.6441,34197.84414788223,
ZNabcpp,1080000.0,178.747,6042.059447151562,
ZN2abcpp,1080000.0,76.8399,14055.197885473564,
AKGDH,207000000000.0,2418.391,85594099.54800527,gene-GO
UGLT,1062332.308,79.2914,13397.825085696555,
UGLT_reverse,1062332.308,79.2914,13397.825085696555,
ASPTA_reverse,1057800.0,87.0756,12148.064440555105,
BUTCT,1044000.0,92.9717,11229.22351640338,
HXCT,1044000.0,92.9717,11229.22351640338,
ACACCT,1044000.0,57.562,18136.965359091068,
G6PDA,1036669.091,178.6452,5802.949595063287,
GK1,1034562.857,47.1854,21925.486633577337,
GK1_reverse,1034562.857,47.1854,21925.486633577337,
DGK1_reverse,1034562.857,47.1854,21925.486633577337,
DGK1,1034562.857,47.1854,21925.486633577337,
UPP3S,1029909.6,27.7979,37049.90664762446,
PGK,994061.6572,41.1182,24175.70947171812,
GLYCK,990000.0,38.7345,25558.61054099059,
HSTPT,965513.5286,78.7203,12265.114952559888,
HYD3pp,963614.7,181.7482,5301.921559608293,
ORPT_reverse,945441.648,47.13399999999999,20058.59142020622,
U23GAAT,943200.0,108.1154,8724.011565419913,
SERD_L,940849.8545,48.7529,19298.336191282982,
DCTPD,927756.0,63.7478,14553.537533844306,
SULR,917432.3077,786.1512,1166.992186363132,
THD2pp,912480.0001,206.6929,4414.665429243094,
HCYSMT,899817.75,33.4228,26922.27311894874,
HCYSMT2,899817.75,33.4228,26922.27311894874,
UDPG4E_reverse,886123.6362,74.5302,11889.457377009587,
MGSA,877072.5,101.5115,8640.12944346207,
TRSARr,874800.0,30.4274,28750.40259765868,
TRSARr_reverse,874800.0,30.4274,28750.40259765868,
ILETA,860344.6154,204.5619,4205.791085241191,
AGDC,852525.0,163.7964,5204.784720543308,
GTHOr_reverse,841320.0,97.545,8624.942334307243,
ARGSL,829718.7998,50.3182,16489.437217547533,
ASAD,826400.0002,80.0358,10325.379395220642,
ARAI,810853.0909,336.4439,2410.0692296694933,
CPPPGO2,810072.0,52.729,15362.93121432229,
NTPP10,809014.9090000001,42.0777,19226.690360927525,
NTPP11,809014.9090000001,42.0777,19226.690360927525,
UDPGPpp,769471.8001,60.824,12650.792451992636,
LSERDHr,765907.2,108.9957,7026.948769538614,
LSERDHr_reverse,765907.2,108.9957,7026.948769538614,
ASAD_reverse,765074.9999,80.0358,9559.1597747508,
PAPPT3,734587.2,39.8748,18422.34193024165,
TRE6PS,734256.0,53.6112,13695.944131077087,
VALTA,733943.9999,204.5619,3587.8822004488625,
PRAGSr,732024.0,45.9404,15934.210411750879,
PRAGSr_reverse,732024.0,45.9404,15934.210411750879,
ACONTa,730008.0,186.9962,3903.86542614235,
ACONTb_reverse,730008.0,186.9962,3903.86542614235,
ACONTa_reverse,730008.0,186.9962,3903.86542614235,
ACONTb,730008.0,186.9962,3903.86542614235,
TAUDO,726019.2,129.6381,5600.353599751924,
NAMNPP,719735.04,45.8973,15681.424397513581,
GLUTRR,719683.2,92.6136,7770.815517375418,
MCOATA,718809.3137,41.0567,17507.722581210863,
MCOATA_reverse,718809.3137,41.0567,17507.722581210863,
GLYCK2,701501.5386,39.1043,17939.2429630501,
NDPK4_reverse,701471.8001,23.586,29741.024340710585,
NDPK2,701471.8001,23.586,29741.024340710585,
NDPK3_reverse,701471.8001,23.586,29741.024340710585,
NDPK1,701471.8001,23.586,29741.024340710585,
NDPK3,701471.8001,23.586,29741.024340710585,
NDPK8,701471.8001,23.586,29741.024340710585,
NDPK8_reverse,701471.8001,23.586,29741.024340710585,
NDPK2_reverse,701471.8001,23.586,29741.024340710585,
NDPK4,701471.8001,23.586,29741.024340710585,
NDPK7_reverse,701471.8001,23.586,29741.024340710585,
NDPK5_reverse,701471.8001,23.586,29741.024340710585,
NDPK7,701471.8001,23.586,29741.024340710585,
NDPK6_reverse,701471.8001,23.586,29741.024340710585,
NDPK5,701471.8001,23.586,29741.024340710585,
NDPK6,701471.8001,23.586,29741.024340710585,
NDPK1_reverse,701471.8001,23.586,29741.024340710585,
GALS3,696979.0588,101.3141,6879.38854315441,
OP4ENH,695360.0002,144.4494,4813.865617994952,
THRD_L,687060.0,140.928,4875.255449591281,
PHETA1,676971.0461,87.0756,7774.520601638118,
SDPDS,674179.9801,82.538,8168.116262812281,
NADH16pp,672908.5332,540.4142,1245.1718204295887,
NADH17pp,672908.5332,540.4142,1245.1718204295887,
NADH18pp,672908.5332,540.4142,1245.1718204295887,
NODOx,663895.3846,43.8677,15134.0367650914,
UGLYCH,662593.5,18.1696,36467.148423740764,
NHFRBO,660250.2856,258.3403,2555.738634661336,
HXAND,657600.0001,129.7994,5066.279197746677,
PDH,653121.1638,4079.7264,160.0894520279595,
TALA,641124.0,35.6588,17979.404803302412,
TALA_reverse,641124.0,35.6588,17979.404803302412,
PHETA1_reverse,635971.2001,87.0756,7303.667159342,
CBLAT_reverse,634775.2272,21.9989,28854.86216128988,
CBIAT_reverse,634775.2272,21.9989,28854.86216128988,
CBIAT,634775.2272,21.9989,28854.86216128988,
MTHFD,630387.6923,62.0875,10153.2142911214,
MTHFD_reverse,630387.6923,62.0875,10153.2142911214,
3OXCOAT,623180.0002,42.2765,14740.576920984473,
UMPK,614868.0001,24.7463,24846.86600016972,
UMPK_reverse,614868.0001,24.7463,24846.86600016972,
ALCD2x,614130.9232,141.5183,4339.586634378734,
METS,613235.0401,84.6735,7242.3490241929285,
L_LACD2,608580.0,42.7282,14243.052597581924,
L_LACD3,608580.0,42.7282,14243.052597581924,
OAADC,600704.6036,66.8521,8985.575675259268,
PSP_L,600507.702,35.0427,17136.456437432047,
PSP_Lpp,600507.702,98.8772,6073.267669391934,
GALUi,596285.3142,131.769,4525.232142613209,
HEX1,589223.9999,34.7231,16969.2222151824,
CYSTA,581166.0,87.1467,6668.823948583251,
MLDCP2Bpp,576000.0,34.411,16738.833512539593,
MLDCP2App,576000.0,34.411,16738.833512539593,
MLDCP1Bpp,576000.0,34.411,16738.833512539593,
MLDCP1App,576000.0,34.411,16738.833512539593,
MLDCP3App,576000.0,34.411,16738.833512539593,
ASPTA,574227.6923,87.0756,6594.587832871666,
NODOy,564859.3846,43.8677,12876.43037132104,
GLYCL,562976.4704,364.0876,1546.26653146111,
THRD,560148.0001,40.351,13881.886448910807,
3OAR181,553971.2728,102.2412,5418.278275294108,
3OAR40,553971.2728,102.2412,5418.278275294108,
3OAR180,553971.2728,102.2412,5418.278275294108,
3OAR161,553971.2728,102.2412,5418.278275294108,
3OAR141,553971.2728,102.2412,5418.278275294108,
3OAR121,553971.2728,102.2412,5418.278275294108,
MLTG3,549960.0361,69.041,7965.7020625425475,
NADTRHD,548539.2,412.4831,1329.8464834074416,
CYTK1,544525.2,24.7463,22004.307714688657,
RMI,539316.0,188.7978,2856.579896587777,
URIK1,526466.952,24.3531,21618.06718651835,
CYTDK1,526466.952,24.3531,21618.06718651835,
CYTDK2,526466.952,24.3531,21618.06718651835,
CYANST,524520.0,24.1649,21705.862635475423,
CYANSTpp,524520.0,11.4753,45708.608925256856,
ADK3_reverse,523137.6,23.586,22180.00508776393,
ADK3,523137.6,23.586,22180.00508776393,
TYRTA_reverse,522925.2,87.0756,6005.415983352397,
TMDPP,518695.9999,94.4142,5493.8346128018875,
TMDPP_reverse,518695.9999,94.4142,5493.8346128018875,
UAGDP,507204.0,147.5702,3437.035390614094,
MALS,504108.0,60.2736,8363.66170263598,
GLNS,503402.6668,622.8451,808.2309177675156,
ICDHyr,498080.0002,91.5134,5442.700196911052,
TDPDRE,498055.95,21.2701,23415.778487172134,
GUAD,495432.0,50.2442,9860.481408799424,
ACCOAL,494948.5715,69.351,7136.8627921731495,
3OAR60,491674.1537,102.2412,4808.96305696725,
3OAR100,491674.1537,102.2412,4808.96305696725,
3OAR80,491674.1537,102.2412,4808.96305696725,
3OAR160,491674.1537,102.2412,4808.96305696725,
3OAR120,491674.1537,102.2412,4808.96305696725,
3OAR140,491674.1537,102.2412,4808.96305696725,
ME2,489660.6316,494.5043,990.2050024640836,
CA2tex_reverse,484674.75,41.2198,11758.299409507084,
CA2tex,484674.75,41.2198,11758.299409507084,
ASPT,474852.857,209.4245,2267.4178856819517,
ME1,472238.3999,252.7893,1868.1107147335752,
EDTXS1,471600.0,35.4068,13319.475355016553,
MLTG1,469809.0,69.041,6804.782665372752,
MLTG5,469809.0,69.041,6804.782665372752,
MLTG4,469809.0,69.041,6804.782665372752,
NTRIR2x,468000.0,105.4053,4440.00444000444,
AMALT1,466469.1691,78.5035,5942.0174782016065,
AMALT2,466469.1691,78.5035,5942.0174782016065,
AMALT4,466469.1691,78.5035,5942.0174782016065,
AMALT3,466469.1691,78.5035,5942.0174782016065,
ETHAAL,463839.3817,487.1078,952.2314807933686,
AMPTASECG,463205.4545,98.9189,4682.678987534233,
GAPD,450842.4,142.13,3172.0424963061987,
GAPD_reverse,450842.4,142.13,3172.0424963061987,
ADSL2r,443916.0,206.1712,2153.1426309785265,
ADSL1r,443916.0,206.1712,2153.1426309785265,
ADSL1r_reverse,443916.0,206.1712,2153.1426309785265,
ADSL2r_reverse,443916.0,206.1712,2153.1426309785265,
GLCRAL,431236.8,164.305,2624.6115456011685,
LYSDC,426512.291,805.903,529.2352690088013,
A5PISO,424938.4614,136.1257,3121.662268036087,
A5PISO_reverse,424938.4614,136.1257,3121.662268036087,
SHCHCS3,422550.0,27.6824,15264.211195561082,
3OAR40_reverse,422143.5427,102.2412,4128.89855263827,
3OAR180_reverse,422143.5427,102.2412,4128.89855263827,
PRAIi,411930.0,49.4923,8323.112888267467,
G3PT,410860.0001,27.163,15125.722493833522,
DRPA,387265.32,27.7338,13963.658784587758,
ATPS4rpp,1404000.0,530.0127,2648.99312790052,BRENDA
ATPS4rpp_reverse,386596.0001,530.0127,729.4089369933963,
PPM2,381420.0,44.37,8596.348884381341,
PPM2_reverse,381420.0,44.37,8596.348884381341,
PFK_3,380121.9599,139.3682,2727.465518676427,
