,MW,kcat,kcat_MW,source
ALDD2y_num2,84.193,58605.48,696.0849476797357,
ALDD2y_num3,225.2228,58605.48,260.21113315348185,
ALDD2y_num4,31.4876,58605.48,1861.224100915916,
ALDD2y_num5,36.5014,58605.48,1605.5680056107435,
RMI,188.7955,539316.0,2856.614696854533,
FMNAT,34.7338,168.39666,4.848207221783968,
NADDP_num1,59.3772,375317.55,6320.903478102707,
NADDP_num2,73.6052,375317.55,5099.062973811633,
NMNAT_num1,189.381,27709.785054000004,146.31766150775422,
NMNAT_num2,24.5276,27709.785054000004,1129.7389493468581,
HMPK1_num1,114.5331,779.6571428571428,6.807264824379527,
HMPK1_num2,61.694,779.6571428571428,12.637487322221654,
NDPK6_num1,23.5857,664696.5400810477,28182.18412347514,
NDPK6_num2,61.853,664696.5400810477,10746.391283867357,
NDPK8_num1,23.5857,664696.5400810477,28182.18412347514,
NDPK8_num2,61.853,664696.5400810477,10746.391283867357,
PYNP2r,162.9527,263696.0,1618.236457573271,
DURIPP_num1,94.4132,108121.84615384613,1145.1984060898915,
DURIPP_num2,155.6978,108121.84615384613,694.4340006978014,
CYSDS_num1,172.8475,16547.365845800727,95.7339032719636,
CYSDS_num2,211.0914,16547.365845800727,78.3895783807428,
TRPAS2,211.0914,18958.90909090909,89.81374461919857,
NDP3_num1,17.4327,2073051.7332244897,118917.42146795904,
NDP3_num2,35.3523,2073051.7332244897,58639.798067579475,
CDPPH,35.3523,1828990.311,51736.105175617995,
NDP7,35.3523,1828990.311,51736.105175617995,
PMDPHT_num1,30.1958,5574.4,184.60845548056355,
PMDPHT_num2,27.1215,5574.4,205.53435466327448,
ILETA,204.5595,802172.3112520719,3921.462025728806,
VALTA,204.5595,690943.2723455628,3377.712950733468,
ORPT,47.1334,15318.36,325.00010608188666,
RBFSa,969.3782,1006.2077142857144,1.037992926069221,
DHAD2,131.0617,167295.78628544055,1276.4658652027294,
G1PP_num1,22.7315,263400.0,11587.444735279238,
G1PP_num2,23.0072,263400.0,11448.590006606628,
G1PP_num3,29.7208,263400.0,8862.480148582808,
PFL_num1,118.388,28737.0,242.73575024495727,
PFL_num2,198.9165,28737.0,144.46765351290614,
PFL_num3,114.1385,28737.0,251.77306517958448,
PFL_num4,213.2005,28737.0,134.78861447323058,
FRD2,121.2153,3770063.2335142805,31102.20602113991,
POX,248.0428,387265.32,1561.2842622321634,
PTAr_num1,463.0271,5373508.069207281,11605.169695698765,
PTAr_num2,72.1326,5373508.069207281,74494.86181292897,
ACKr_num1,42.4332,2953305.5529747955,69598.93557343767,
ACKr_num2,43.29,2953305.5529747955,68221.42649514427,
ACKr_num3,43.3836,2953305.5529747955,68074.23895146544,
UDCPDPS,56.8876,8235.16373781818,144.76201734329064,
TDSK,35.5889,8640.0,242.77232507888692,
NTPP1_num1,14.9269,51435.72,3445.8407304932703,
NTPP1_num2,60.8239,51435.72,845.6498185746063,
NTPP2_num1,14.9269,24891.6,1667.5666079360085,
NTPP2_num2,60.8239,24891.6,409.24044660076066,
NTPTP1,356.2933,14400000.0,40416.14029789502,
NTPTP2,356.2933,387265.32,1086.9284378909174,
IPMD_num1,79.0331,79982.47458797744,1012.012366818174,
IPMD_num2,40.3145,79982.47458797744,1983.9629559582145,
AIRC3,142.2409,41068.354413552464,288.72394939537406,
ADSL2r,206.1686,407904.3968080218,1978.4991352127427,
PUNP5_num1,179.0058,4521917.454545454,25261.290162360405,
PUNP5_num2,155.6978,4521917.454545454,29042.911682409478,
PUNP6_num1,155.6978,122306.4,785.5371109932188,
PUNP6_num2,179.0058,122306.4,683.2538387024331,
PUNP7,179.0058,122306.4,683.2538387024331,
RNDR1_num1,274.1366,10192.2,37.17927485786284,
RNDR1_num2,270.3885,10192.2,37.69465047514964,
RNDR3_num1,270.3885,10192.2,37.69465047514964,
RNDR3_num2,274.1366,10192.2,37.17927485786284,
RNDR4_num1,270.3885,10048.049725600416,37.16152767444035,
RNDR4_num2,274.1366,10048.049725600416,36.653441115124416,
TMDS,60.9587,13714.111855407786,224.9738241696064,
TMDK1,23.4563,3096.0,131.99012632000785,
PPCDC,521.2517,6719.9999994,12.892044283788426,
DHQTi,54.9327,287753.1628923409,5238.2854455058805,
PUNP1,155.6978,103077.0,662.0324757318342,
PUNP2,155.6978,122306.4,785.5371109932188,
PUNP3_num1,179.0058,177230.76923076925,990.083948289772,
PUNP3_num2,155.6978,177230.76923076925,1138.2997655122247,
LYSAM,38.7492,149549.4,3859.419033167136,
DHAD1,131.0617,167295.78628544055,1276.4658652027294,
IPPMIa,72.3685,9598.568463020709,132.63461952397398,
G3PD7,148.4219,119880.0,807.6975163368747,
NADH9_num1,40.3395,11645835.263242595,288695.57786394464,
NADH9_num2,47.3581,11645835.263242595,245910.10330318558,
NADH9_num3,83.3812,11645835.263242595,139669.79682761335,
NADH9_num4,40.7507,11645835.263242595,285782.4592765914,
NADH10_num1,40.3395,11645835.263242595,288695.57786394464,
NADH10_num2,47.3581,11645835.263242595,245910.10330318558,
NADH10_num3,40.7507,11645835.263242595,285782.4592765914,
NADH10_num4,83.3812,11645835.263242595,139669.79682761335,
MDH,64.6738,1763891.424752641,27273.662978712266,
FUM_num1,120.2092,2007062.6653857715,16696.414795088658,
FUM_num2,120.5957,2007062.6653857715,16642.904061967147,
FUM_num3,201.9533,2007062.6653857715,9938.251394682691,
PYDXNK,61.694,49056.84,795.1638733102085,
PYAM5PO,51.0897,10321.513043478259,202.02727836488097,
