,kcat_ori,kcat_change,MW,kcat_mw_new,norm_biomass,new_biomass
PYK,427444.7782,18342179.733599998,202.9177,90392.21188491688,0.8769972144269698,0.8769972144269698
ME2,979321.26312,979321.26312,494.5043,1980.4100047663894,0.8769972144269698,0.8769972144269698
PTAr,547821.7643,10747016.136,72.1335,148987.8646675955,0.8769972144269698,0.8769972144269698
PPC,165600.0,527219.421696,396.2504,1330.5208567511856,0.8769972144269698,0.8769972144269698
ACKr_reverse,178357.4108,13003725.247200001,42.4337,306448.0647975548,0.8769972144269698,0.8769972144269698
