,glucose,ac,o2_reverse
0.1,1.39412173475178,0.0,4.046787758510646
0.15000000000000002,1.9473266380208416,0.0,5.207045853125048
0.2,2.501157739583339,0.0,6.371061137500067
0.25,3.0549888411458483,0.0,7.535076421875035
0.3,3.609067542913025,0.0,8.700577307478094
0.35,4.164137149030721,0.0,9.872023619184134
0.39999999999999997,4.7192067551483605,0.0,11.043469930890188
0.44999999999999996,5.274276361265917,0.0,12.21491624259575
0.49999999999999994,5.829345967383614,0.0,13.38636255430155
0.5499999999999999,6.384415573501258,0.0,14.557808866007598
0.6,6.9394851796189,0.0,15.72925517771321
0.65,7.953693134512422,1.258592573803403,17.13834643446776
0.7000000000000001,9.641001448027096,5.473210689204567,16.673988759753605
0.7500000000000001,11.379725705922406,9.567895286844688,16.757993786844754
0.8000000000000002,13.21969248321022,12.36839176642044,20.03783016642044
0.8500000000000002,15.059659260497908,15.168888245995767,23.317666545995788
