,kcat_mw,flux,enz useage,enz ratio
PDH,132.49569916425563,8.381887635856895,0.06326158274364682,0.2786853865358891
FBA_num1,472.9580184901249,7.021147845870375,0.014845181964109087,0.0653972773749299
ATPS4rpp_num2,5298.047231864659,73.27981665668412,0.013831476664826398,0.06093161526355241
AKGDH,411.67696965111986,4.714383704915812,0.011451657616191324,0.050447830908331825
CS,614.1594514994589,5.644013662291187,0.00918981813031035,0.040483780309737226
PSERT,225.32322344930043,1.4861376355806526,0.006595581284656376,0.02905542416148183
ENO,2525.719295566477,14.207299056658135,0.005625050686193405,0.024779958970015
GAPD,2950.953304530535,15.693436692238786,0.005318090485588162,0.02342771139025622
ACGS,64.09472214801991,0.2557469776114196,0.0039901409826038296,0.017577713579752553
SUCDi,1196.136493520365,4.714877401581767,0.00394175533237461,0.01736456093557097
PPC,665.2683192854789,2.559075371050585,0.0038466815521880256,0.016945733710079406
SADT2,59.31020171396189,0.21397729997170034,0.0036077655072504857,0.01589324012004619
ADSS,79.89892054235207,0.25878351472324645,0.0032388862448532443,0.014268221342965834
IPPMIa_reverse,132.63461952397398,0.3895370448499299,0.002936918326813764,0.012937966197417463
IPPMIb_reverse,132.63461952397398,0.3895370448499299,0.002936918326813764,0.012937966197417463
3OAS141,48.6976314749095,0.13006270064143255,0.0026708219004130582,0.011765735244110388
3OAS161,48.6976314749095,0.13006270064143255,0.0026708219004130582,0.011765735244110388
3OAS121,48.6976314749095,0.13006270064143255,0.0026708219004130582,0.011765735244110388
GLCptspp_num2,3921.1622486550177,10.0,0.0025502642751980133,0.011234644384132216
SUCOAS_reverse,1808.7461046752815,4.2604957638189065,0.002355496856527456,0.010376638134482185
CYTBO3_4pp,20262.274526246278,45.32547675294725,0.0022369392288232957,0.009854357836225972
ASNS2_num1,99.35579984774941,0.20842040247241556,0.0020977175242088966,0.00924104636215373
ACOTA_reverse_num4,126.39583047364023,0.2557469776114196,0.002023381441089194,0.008913574630348873
NADH16pp,19984.90029755296,40.32348750465743,0.0020176977069830473,0.00888853615411034
IPPS,194.79153248638423,0.3895370448499299,0.001999763746800227,0.008809531924230075
ACCOAC,1049.5427264027176,2.0866180371433254,0.001988121097551844,0.008758242720492705
CTPS2,69.94794653508663,0.1387927448378358,0.0019842290119012414,0.008741096968727935
GLNS,779.7431622328804,1.3543863367104996,0.0017369646856947936,0.007651826809228166
PFK_num2,4080.261089389965,7.021147845870375,0.0017207594543711168,0.007580438124982893
ACONTa_num1,3364.673824555576,5.644013662291187,0.0016774326299033395,0.0073895710568429055
ACONTb_num1,3364.673824555576,5.644013662291187,0.0016774326299033395,0.0073895710568429055
IMPD,141.3890622750067,0.21029921657945602,0.001487379668523557,0.006552333341513467
CHORS,229.02544539437923,0.3295222060105977,0.001438801725472749,0.006338333592390964
DHDPS,230.4218928205441,0.32072904472730324,0.0013919208839113723,0.006131810061283579
AIRC3_reverse,288.72394939537406,0.38717058640037016,0.0013409714961684208,0.005907363419244144
PGL,5091.30359187137,6.679144452736328,0.0013118731445125487,0.005779176848072901
ASPK_num3,726.9484516492262,0.9243419559585992,0.0012715371411295352,0.005601485203213812
KDOPP,26.576652601969066,0.033644001165736584,0.0012659232022035724,0.005576754194729394
ANPRT,43.04510856357014,0.04914745986492509,0.0011417664284048173,0.005029808054646772
IMPC_reverse,429.41592241757144,0.4690827313027025,0.001092373866022039,0.004812219674105898
ICDHyr,5180.534239703317,5.644013662291187,0.0010894655649673717,0.004799407775186659
AIRC2,468.2082023484154,0.38717058640037016,0.000826919700377779,0.003642818063338233
ATPPRT,101.17726517578134,0.08191214490233227,0.0008095904229079664,0.0035664776339557986
ILETA_reverse,321.1029084264644,0.2511964950318741,0.0007822928053278609,0.0034462238120170083
ACLS_num2,982.4820046056723,0.7559931221032481,0.0007694727420546217,0.003389747762355162
PGM_reverse_num2,18656.26066481916,14.207299056658135,0.0007615298323661072,0.0033547569707758026
RBFSa,1.037992926069221,0.0007712389247491098,0.0007430098080434105,0.0032731709605436582
PGAMT_reverse,116.7463003379706,0.08169599049517165,0.0006997736995405312,0.0030827035222049833
HSK,734.2328723000278,0.4705387473893016,0.0006408576422291081,0.002823161419511489
CO2tex_reverse_num1,40867.014548933636,24.511418397611408,0.0005997849039905216,0.0026422242466542798
DHAD1,1276.4658652027294,0.7559931221032481,0.0005922548676874964,0.002609052280561658
KAS15,540.5689094239797,0.3077001216812895,0.0005692153513030728,0.002507556613669924
O2tex_num1,40867.014548933636,22.666306653427032,0.0005546357350446211,0.0024433292292714587
PAPSR2_num2,387.1663570872184,0.21397729997170034,0.000552675344990001,0.002434693149735687
LEUTAi_num2,754.3491488478081,0.3895370448499299,0.0005163882605884931,0.002274838152372216
HSDy_reverse_num1,1252.1590146536826,0.6036129112312959,0.00048205771325157204,0.0021236022610201413
ALATA_L_reverse_num1,1945.931906122487,0.8689459044914748,0.00044654486714437936,0.0019671580050413186
HISTD,191.25253605437803,0.08191214490233227,0.0004282931175304391,0.001886753821719996
CYSTL_num2,332.4480552930015,0.13307416384199433,0.0004002855836371491,0.0017633726151416258
GHMT2r,2450.8547462601696,0.9653767086140238,0.0003938938895041088,0.0017352153722647965
GARFT,987.699457784663,0.3873633961315575,0.00039218751521883494,0.0017276983049287881
ANS,131.56958376837278,0.04914745986492509,0.0003735472778529786,0.0016455827218192888
DAPDC,816.8947149113844,0.2967030500625857,0.0003632084338980839,0.0016000371537360524
FUM_num1,16696.414795088658,5.61600005112324,0.00033635963888338575,0.0014817605237153557
